	20	21	22	23	24	25
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	169808	263212	330238	440792	3120852	429055
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	183661	312639	626518	347133	1596545	285790
Protoplast-18_S29_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	317089	365475	356618	468419	1447130	964916
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	141028	243238	228467	346207	2174597	178967
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	143400	235284	222992	334892	2106373	188870
ddm1ab.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	1825016	1948676	1382135	1313412	1987133	980877
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	193664	608615	1164223	553894	3980079	470845
eggcell2_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	676282	877137	1060416	1322132	8830844	1271831
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	179768	246472	274301	348010	2396960	313476
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	455505	737105	1043424	694452	2371203	443935
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	250778	422045	408298	609940	3683822	324658
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	1601976	2328293	1826966	1920726	2720577	1514643
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	606959	741433	871978	794556	816503	671109
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	117620	147105	195049	256795	1833405	245193
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	441924	494225	481311	680792	1775147	1180323
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	737125	610784	822441	954280	10070622	982152
eggcell4_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	492458	825885	1055090	1289944	10431583	1256371
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	405452	639610	917550	577547	1918562	453876
BlenderVegetativeCell1_S4_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	247581	323104	357272	232506	621129	130758
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	841783	1039066	1317020	1239840	1128592	1106268
eggcell3_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	539747	840693	953608	1341354	8987187	1108753
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	142689	320685	608780	288226	1829604	279606
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	783237	880903	853295	1164171	3368978	2563347
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	160576	215208	244147	155846	429710	91364
seedling4_S3_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_24.sam	215694	297989	273154	329351	1636365	205978
