	20	21	22	23	24	25
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1296	2341	3615	4297	31956	2635
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1955	2693	3054	3648	15454	3251
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	9906	13660	12680	17463	54283	10739
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	6574	7561	11408	10225	52773	10843
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	4003	4692	7724	4995	27800	4620
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	4122	8265	8157	6608	32424	3371
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	4116	5291	6559	5755	32584	4094
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	4257	8828	15176	13024	136765	15323
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	1257	2769	3443	4953	32843	2477
Protoplast-18_S29_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	3094	3186	5128	4147	22585	4264
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	3807	7546	13325	20346	71041	9770
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.egg_specific.sam	10774	18354	11538	12797	47547	11880
