	20	21	22	23	24	25
eggcell3_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	462045	656375	688114	871293	3643945	656407
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	139925	156599	160164	114224	229918	69289
eggcell4_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	400906	547618	653893	819459	4404609	720787
SRR5713891.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	830240	722319	662298	703496	930926	426183
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	152936	287044	494381	245876	1130902	251249
eggcell2_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	596103	686853	767199	931737	3826303	850428
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	810298	1001759	1270838	1198338	1020186	1059085
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	703763	481139	602379	598386	4549875	569879
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	583991	709666	835226	752661	656552	631994
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	100662	113112	134441	176224	818180	151460
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	163936	421084	736322	346751	2049272	321298
ddm1ab.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	1765191	1816752	1279738	1204313	1515649	942502
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	163932	257818	422536	258134	947115	236808
Protoplast-18_S29_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	295159	333869	312430	398098	758215	905738
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	126992	192438	146500	169885	796924	103311
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	752851	512840	646608	640285	4826404	600526
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	425067	603535	725176	536462	1466895	337862
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	158523	193581	193771	240710	1018103	196651
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	412511	449114	425229	585029	947552	1102808
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	123189	195598	147450	167149	797094	94468
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	362252	423318	569071	433713	1096266	300758
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	370075	500201	658702	447281	1172247	373343
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	218230	336784	263312	292804	1337499	177064
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	551736	669056	742346	522613	1272234	376652
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	1553808	2214403	1726978	1812334	2249962	1470301
seedling4_S3_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	188662	249432	192632	203549	667879	134898
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.intersection.sam	735456	803761	755129	999416	1812216	2420621
