	20	21	22	23	24	25
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	235257	775710	1408166	855620	8035758	811730
SRR5713891.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	1215941	1768958	1588282	2540636	10724591	881998
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	488877	917325	1142487	801987	4018306	682721
eggcell2_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	697301	889228	982561	1314936	7199813	1227764
eggcell3_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	568323	900556	980351	1317715	7179522	1107463
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	207650	391810	778353	441613	2928067	375454
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	848850	1065320	1116811	1279484	2401562	1009726
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	995090	1328936	1531421	1561002	2315962	1390864
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	317971	1021765	1089119	2144049	16532068	1027315
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	182660	271386	301173	440451	2480289	404969
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	192723	445886	800396	458768	3758078	496602
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	200417	262905	253584	348508	1895242	297275
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	733688	610613	753560	926133	8766765	925147
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	689039	1180994	1349622	960162	4487924	656909
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	559901	929285	841247	1346113	8818548	1690282
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	686762	803391	1072568	1513242	13671566	1261114
BlenderVegetativeCell1_S4_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	305973	433772	452205	331678	1272866	181899
eggcell4_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	496128	814027	927769	1279251	8426084	1187544
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	2029832	3284402	2454623	2788684	6994989	1919989
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	475812	763605	976510	822699	3431283	518898
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	583031	1790314	1970285	3898913	28804112	1866374
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	295411	911679	999102	1933688	15219415	1019891
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	166526	370071	670910	377999	3135101	401215
ddm1ab.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	2233416	3016803	2036213	2016808	5180013	1255813
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	962297	1594957	1447926	2235924	15658924	3388611
Protoplast-18_S29_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	397950	677820	621264	944413	6980952	1346531
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	202030	292968	313443	226213	886437	128825
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	126021	151115	181155	255190	1482420	229715
seedling4_S3_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	413658	925182	1011867	1461430	11290331	801600
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	785239	649876	808597	993034	9307522	980717
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_24.sam	543610	1083845	1352718	956134	4968702	650290
