	20	21	22	23	24	25
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	26346	86655	159851	135998	1516700	158381
eggcell3_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	81403	156238	206855	314812	2405556	338898
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	104241	315539	317585	610759	6549061	473150
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	396930	626846	496653	791034	3902281	370796
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	156954	529662	523758	977705	11395693	764115
eggcell2_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	66982	131949	139963	274966	2292529	262533
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	20636	85812	106069	244478	3136424	266422
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	17826	24417	28140	55758	440574	54389
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	80834	272062	275359	222657	1699090	214408
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	42128	82768	88610	76219	477828	38400
seedling4_S3_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	169971	493168	658632	1054343	9046488	548283
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	30168	47058	39278	75563	577335	67816
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	86908	320181	356814	286462	2078289	218895
SRR5713891.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	318611	806023	738801	1579657	8517704	387747
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	139826	551650	695070	1500026	12307009	776162
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	306627	1117239	1407264	3099936	23677059	1444988
eggcell4_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	57662	172658	181533	331025	2722157	329387
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	47206	200389	350064	331287	3600097	320460
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.seedling_specific.sam	23326	39525	49209	89879	762348	91091
