	20	21	22	23	24	25
BlenderVegetativeCell1_S4_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	289886	481798	577096	313764	1249011	161884
drm2-T-DNA.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	860019	1102514	1362706	1291230	1384070	1138648
egg-9b_S26_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	178664	250003	267489	319039	1962662	273501
egg-9c_S27_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	169422	255618	313869	397486	2550219	377096
BlenderVegetativeCell2_S6_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	187778	320746	394989	211621	882071	116660
SRR5713891.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	897184	967448	851124	880648	1810010	477425
ovary-no-egg-1b_S32_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	779351	618734	815105	891705	8792477	890256
sperm-5b_S28_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	176191	513330	1019754	552927	6543990	602743
seedling4_S3_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	237499	425823	327312	324056	1605701	208417
Bulk-15_S26_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	266106	664100	526280	580675	3588643	323432
ddm1ab_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	1635193	2731812	2026550	1985523	3044550	1540581
Bulk-25_S28_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	150053	387320	294629	329351	2128570	179201
Blendersperm6a_S174_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	564457	1100867	1768174	1106794	8064454	721870
Protoplast-25_S31_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	802612	1060795	902064	1167931	3442341	2548732
eggcell2_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	668415	860777	1022793	1206607	6985109	1127549
eggcell4_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	483048	794187	975862	1147813	8277421	1088880
egg-9a_S25_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	118067	144206	187419	231489	1503856	219016
ovary-no-egg-1a_S31_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	727659	583675	758804	834722	8282027	839708
Blendersperm6b_S177_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	701074	1175303	1785662	1122063	7406691	778887
sperm-5c_S29_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	214984	637486	1236315	684744	7824067	731554
Protoplast-20_S30_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	452140	611211	507826	679161	1805800	1173633
Blendersperm4b_S176_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	506787	999219	1513030	949383	6515855	698567
BlenderSperm2_S8_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	223502	521188	1048514	575253	5701462	515946
Bulk-20_S27_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	150597	358256	285832	323200	2079480	188122
BlenderSperm4a_S173_L007_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	449770	811896	1272664	884715	5598359	559529
Protoplast-18_S29_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	323989	442748	376871	465003	1466816	963999
Ovarynoegg2_S5_L004_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	674534	757626	1053697	1321599	12646944	1094114
eggcell3_combined.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	533756	825609	944494	1182353	6862596	956934
ddm1ab.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	1886575	2525153	1701011	1488328	2854201	1032274
drm2-T-DNA_control.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	615053	793631	899432	810403	888908	678152
blender-sperm-1_S30_L002_R1_001.fastq.gz.trimmed.fastq.gz.miRF_tRNAF_NORF_5SF_21nt_24nt_phasiRNAsF.bam.sperm_24.sam	269831	1075954	2169022	1190150	14202119	1156048
