bin start	sense overlap	antisense overlap	total overlap
-1999	619497	516711	1136208
-1899	437534	291091	728625
-1799	447910	291364	739274
-1699	332231	280139	612370
-1599	636642	331983	968625
-1499	397356	263966	661322
-1399	626105	511972	1138077
-1299	475915	194016	669931
-1199	867018	355763	1222781
-1099	405096	412765	817861
-999	483070	360204	843274
-899	474696	195049	669745
-799	505710	374179	879889
-699	835684	598279	1433963
-599	400114	313548	713662
-499	341384	339613	680997
-399	561700	418997	980697
-299	624529	422302	1046831
-199	889745	719286	1609031
-99	1023644	951612	1975256
1	473264	489876	963140
101	769401	511905	1281306
201	241435	156118	397553
301	543962	259942	803904
401	595897	558315	1154212
501	723856	200867	924723
601	459445	399864	859309
701	459773	482373	942146
801	621813	335456	957269
901	409197	325237	734434
1001	661778	366317	1028095
1101	699025	492049	1191074
1201	413207	297959	711166
1301	425843	510142	935985
1401	234231	459638	693869
1501	289953	312397	602350
1601	207019	626166	833185
1701	432408	413989	846397
1801	436390	291488	727878
1901	235052	731148	966200
2001	429481	734663	1164144
2101	193882	465026	658908
2201	319511	596020	915531
2301	374089	602916	977005
2401	399677	614550	1014227
2501	278162	244907	523069
2601	405713	262894	668607
2701	449154	232880	682034
2801	322031	232562	554593
2901	140900	504449	645349
