bin start	sense overlap	antisense overlap	total overlap
-3000	331083	456201	787284
-2900	476719	697466	1174185
-2800	567411	351840	919251
-2700	353083	329581	682664
-2600	230001	481701	711702
-2500	372817	438359	811176
-2400	460762	362518	823280
-2300	480175	774364	1254539
-2200	298690	249439	548129
-2100	271627	482562	754189
-2000	519314	285588	804902
-1900	714295	612833	1327128
-1800	654605	551508	1206113
-1700	360522	320495	681017
-1600	611303	367037	978340
-1500	527222	953511	1480733
-1400	441966	641143	1083109
-1300	444864	420161	865025
-1200	966115	464678	1430793
-1100	482567	548290	1030857
-1000	1054441	820799	1875240
-900	438359	653683	1092042
-800	694627	287694	982321
-700	417622	210187	627809
-600	941348	647190	1588538
-500	909626	401272	1310898
-400	542168	409241	951409
-300	253538	349582	603120
-200	591017	401007	992024
-100	680502	687423	1367925
0	1361374	638042	1999416
100	736077	588087	1324164
200	687566	740444	1428010
300	560169	369157	929326
400	303007	267921	570928
500	362240	451086	813326
600	376293	343133	719426
700	461471	395916	857387
800	255360	342798	598158
900	173393	333333	506726
1000	343814	313010	656824
1100	384997	542852	927849
1200	787926	139160	927086
1300	326017	169063	495080
1400	843731	328471	1172202
1500	458333	318401	776734
1600	565832	407940	973772
1700	466653	295308	761961
1800	296089	229538	525627
1900	323294	218462	541756
