bin start	sense overlap	antisense overlap	total overlap
-1999	478820	730820	1209640
-1899	451345	531841	983186
-1799	744253	346973	1091226
-1699	319557	287685	607242
-1599	333301	241561	574862
-1499	267931	527724	795655
-1399	535517	542857	1078374
-1299	475052	138882	613934
-1199	469005	408825	877830
-1099	473019	181373	654392
-999	494769	216738	711507
-899	355684	277285	632969
-799	486495	196164	682659
-699	695974	1074817	1770791
-599	498561	636847	1135408
-499	462900	391972	854872
-399	749085	339063	1088148
-299	680085	225749	905834
-199	637373	604407	1241780
-99	1173201	1032910	2206111
1	1038658	453506	1492164
101	1022446	399108	1421554
201	570263	256597	826860
301	705511	203201	908712
401	737098	381175	1118273
501	577843	412299	990142
601	501954	355404	857358
701	498896	539761	1038657
801	782648	446527	1229175
901	542811	442536	985347
1001	533375	351907	885282
1101	384196	292786	676982
1201	479750	485859	965609
1301	415999	366681	782680
1401	529207	379292	908499
1501	277759	472717	750476
1601	489217	179242	668459
1701	420578	581020	1001598
1801	449115	195456	644571
1901	612607	1266499	1879106
2001	216668	1107247	1323915
2101	361265	736082	1097347
2201	466597	512264	978861
2301	371643	335667	707310
2401	308306	403432	711738
2501	313376	258898	572274
2601	369944	527695	897639
2701	354787	229470	584257
2801	419013	183283	602296
2901	536340	90719	627059
