bin start	sense overlap	antisense overlap	total overlap
-3000	701872	440782	1142654
-2900	614076	255102	869178
-2800	460007	407365	867372
-2700	720015	329855	1049870
-2600	459613	296712	756325
-2500	511221	462793	974014
-2400	540640	538527	1079167
-2300	454290	798659	1252949
-2200	481795	789125	1270920
-2100	354981	360075	715056
-2000	527206	314580	841786
-1900	866180	304292	1170472
-1800	417091	381535	798626
-1700	789656	358189	1147845
-1600	413695	812064	1225759
-1500	701709	944384	1646093
-1400	510077	546627	1056704
-1300	549401	341704	891105
-1200	720874	428707	1149581
-1100	533569	215281	748850
-1000	606526	663543	1270069
-900	349288	738828	1088116
-800	648439	438537	1086976
-700	766112	438644	1204756
-600	703131	346336	1049467
-500	857554	620255	1477809
-400	552571	563185	1115756
-300	694888	485395	1180283
-200	587905	575150	1163055
-100	559084	365047	924131
0	849090	436265	1285355
100	916283	519259	1435542
200	640965	428741	1069706
300	471396	406867	878263
400	516121	430764	946885
500	409190	270746	679936
600	366504	353381	719885
700	322044	340351	662395
800	650473	247012	897485
900	435197	311851	747048
1000	604075	118097	722172
1100	408579	487974	896553
1200	854513	264243	1118756
1300	596269	215421	811690
1400	545737	98403	644140
1500	402045	876246	1278291
1600	238828	643199	882027
1700	519851	488374	1008225
1800	455840	206654	662494
1900	437263	362859	800122
