bin start	sense overlap	antisense overlap	total overlap
-1999	189093	95081	284174
-1899	263167	81394	344561
-1799	180916	102367	283283
-1699	189574	83783	273357
-1599	233517	74899	308416
-1499	181678	84159	265837
-1399	216212	79448	295660
-1299	212691	78142	290833
-1199	213164	81498	294662
-1099	204312	100648	304960
-999	234433	77198	311631
-899	239173	77901	317074
-799	224677	81340	306017
-699	235932	100323	336255
-599	290692	150063	440755
-499	321477	106300	427777
-399	360121	88477	448598
-299	388764	84173	472937
-199	366324	105473	471797
-99	355741	99004	454745
1	249884	89688	339572
101	413776	101956	515732
201	144661	104437	249098
301	186775	108189	294964
401	180862	122016	302878
501	134052	150455	284507
601	156804	144124	300928
701	147774	146226	294000
801	243733	139143	382876
901	175778	129290	305068
1001	166704	126148	292852
1101	143657	118024	261681
1201	132585	123756	256341
1301	125238	138603	263841
1401	128624	129821	258445
1501	128708	153062	281770
1601	117887	142291	260178
1701	122097	140418	262515
1801	110680	114522	225202
1901	109316	152901	262217
2001	123425	189299	312724
2101	120388	132233	252621
2201	122653	147826	270479
2301	118329	138175	256504
2401	135872	167973	303845
2501	128848	119727	248575
2601	135157	127111	262268
2701	123350	105848	229198
2801	129510	107914	237424
2901	127304	112252	239556
