bin start	sense overlap	antisense overlap	total overlap
-3000	142607	113078	255685
-2900	139199	110097	249296
-2800	133961	109111	243072
-2700	124464	127374	251838
-2600	145754	110740	256494
-2500	154413	118690	273103
-2400	159152	120944	280096
-2300	135891	143861	279752
-2200	150196	139518	289714
-2100	144190	130312	274502
-2000	156044	117551	273595
-1900	197582	114697	312279
-1800	188715	119109	307824
-1700	170631	113085	283716
-1600	205620	129101	334721
-1500	164727	157591	322318
-1400	173461	131178	304639
-1300	235228	152644	387872
-1200	173240	122041	295281
-1100	182596	126412	309008
-1000	190577	144221	334798
-900	155578	154277	309855
-800	165105	171264	336369
-700	164676	135729	300405
-600	163270	132847	296117
-500	233700	129010	362710
-400	150390	132080	282470
-300	149250	141656	290906
-200	132271	128598	260869
-100	148768	133613	282381
0	255432	86674	342106
100	268735	89301	358036
200	277792	74359	352151
300	209062	77857	286919
400	241512	77759	319271
500	230375	98637	329012
600	211191	82782	293973
700	236298	80841	317139
800	225075	91234	316309
900	221936	91530	313466
1000	191919	74248	266167
1100	229075	79394	308469
1200	234130	86093	320223
1300	244728	74770	319498
1400	214964	84991	299955
1500	208461	106052	314513
1600	226780	146250	373030
1700	170396	106386	276782
1800	201431	84085	285516
1900	236374	86419	322793
