bin start	sense overlap	antisense overlap	total overlap
-1999	859178	692355	1551533
-1899	954641	583004	1537645
-1799	710485	610547	1321032
-1699	931455	707165	1638620
-1599	924900	522459	1447359
-1499	603249	581670	1184919
-1399	636146	330364	966510
-1299	719352	294659	1014011
-1199	516386	223122	739508
-1099	387055	532261	919316
-999	786169	341165	1127334
-899	499271	475006	974277
-799	707413	694642	1402055
-699	516996	772254	1289250
-599	760667	722367	1483034
-499	745356	803158	1548514
-399	847091	412513	1259604
-299	653248	454486	1107734
-199	1051315	559137	1610452
-99	1675958	871992	2547950
1	1497716	392829	1890545
101	1828956	723135	2552091
201	662906	172648	835554
301	1337378	558466	1895844
401	1092355	353414	1445769
501	607481	676499	1283980
601	707198	669213	1376411
701	852976	498036	1351012
801	1081520	891693	1973213
901	671252	475637	1146889
1001	740310	334850	1075160
1101	618385	562188	1180573
1201	478978	784757	1263735
1301	407741	528322	936063
1401	768448	647835	1416283
1501	425299	804986	1230285
1601	746839	1179896	1926735
1701	689812	500570	1190382
1801	475078	530440	1005518
1901	850422	1396689	2247111
2001	732595	1450897	2183492
2101	756421	666686	1423107
2201	681603	715958	1397561
2301	721844	674792	1396636
2401	645614	618143	1263757
2501	749367	544956	1294323
2601	478257	459856	938113
2701	577159	395375	972534
2801	434772	593952	1028724
2901	255527	279720	535247
