bin start	sense overlap	antisense overlap	total overlap
-3000	982069	370509	1352578
-2900	614775	425601	1040376
-2800	543789	506526	1050315
-2700	450081	404973	855054
-2600	637379	400130	1037509
-2500	737985	370287	1108272
-2400	822922	679578	1502500
-2300	787414	725674	1513088
-2200	689534	767143	1456677
-2100	592833	578811	1171644
-2000	1135870	775737	1911607
-1900	1106357	631549	1737906
-1800	806074	801696	1607770
-1700	1074598	906613	1981211
-1600	673402	745215	1418617
-1500	808598	1182252	1990850
-1400	631899	582432	1214331
-1300	1140750	509236	1649986
-1200	978504	1012309	1990813
-1100	1063639	575696	1639335
-1000	959296	636268	1595564
-900	853190	634829	1488019
-800	919019	694258	1613277
-700	652709	737518	1390227
-600	757044	758165	1515209
-500	1254780	666931	1921711
-400	562196	936517	1498713
-300	677321	578552	1255873
-200	898034	562457	1460491
-100	571254	919430	1490684
0	890357	609634	1499991
100	753807	734741	1488548
200	1102303	510881	1613184
300	591640	483531	1075171
400	781393	458547	1239940
500	887402	342502	1229904
600	712265	556181	1268446
700	562530	466417	1028947
800	750142	427767	1177909
900	1069946	263730	1333676
1000	736253	274866	1011119
1100	720425	447542	1167967
1200	810556	331871	1142427
1300	766256	385659	1151915
1400	923768	547350	1471118
1500	640816	894735	1535551
1600	524056	697545	1221601
1700	322443	536225	858668
1800	564044	338267	902311
1900	1145581	566855	1712436
