bin start	sense overlap	antisense overlap	total overlap
-1999	463021	423933	886954
-1899	760291	230873	991164
-1799	260759	575725	836484
-1699	353129	362367	715496
-1599	819871	354360	1174231
-1499	422921	230227	653148
-1399	560942	511656	1072598
-1299	602155	346616	948771
-1199	698070	607844	1305914
-1099	480276	442260	922536
-999	597661	351361	949022
-899	394422	425088	819510
-799	1074877	374530	1449407
-699	732948	616903	1349851
-599	929501	761377	1690878
-499	702315	761983	1464298
-399	590980	525535	1116515
-299	734048	471524	1205572
-199	690921	1059518	1750439
-99	1554732	567311	2122043
1	1257684	370543	1628227
101	1729063	421531	2150594
201	581499	226186	807685
301	727931	288386	1016317
401	1383794	441144	1824938
501	722608	170596	893204
601	711519	310713	1022232
701	501544	455840	957384
801	601809	804244	1406053
901	724208	764807	1489015
1001	743828	574525	1318353
1101	630546	590900	1221446
1201	379327	692876	1072203
1301	780479	459322	1239801
1401	519031	885251	1404282
1501	429131	742703	1171834
1601	766234	450748	1216982
1701	538799	449258	988057
1801	554323	500282	1054605
1901	734400	1434983	2169383
2001	608286	1140473	1748759
2101	420642	511461	932103
2201	981075	715907	1696982
2301	507247	641608	1148855
2401	558950	606140	1165090
2501	432586	336359	768945
2601	550525	386084	936609
2701	510732	479002	989734
2801	480075	963713	1443788
2901	378888	325587	704475
