bin start	sense overlap	antisense overlap	total overlap
-3000	623311	398952	1022263
-2900	976245	509142	1485387
-2800	342695	567821	910516
-2700	603832	590688	1194520
-2600	412657	327395	740052
-2500	507134	606493	1113627
-2400	414991	587524	1002515
-2300	481404	688528	1169932
-2200	703695	613005	1316700
-2100	380358	482002	862360
-2000	900124	570159	1470283
-1900	638233	342066	980299
-1800	1030266	586490	1616756
-1700	1069910	644355	1714265
-1600	519402	776629	1296031
-1500	610781	1116345	1727126
-1400	556535	416399	972934
-1300	964007	488406	1452413
-1200	629576	575643	1205219
-1100	517886	749554	1267440
-1000	743956	569433	1313389
-900	506855	1062134	1568989
-800	867980	831323	1699303
-700	473131	679274	1152405
-600	1750551	744987	2495538
-500	1187001	582547	1769548
-400	665603	693894	1359497
-300	689232	813075	1502307
-200	521847	551706	1073553
-100	657299	967040	1624339
0	976634	227723	1204357
100	990486	692093	1682579
200	730611	420296	1150907
300	606434	307071	913505
400	451952	165957	617909
500	831982	474999	1306981
600	697486	729835	1427321
700	519981	501238	1021219
800	745443	436528	1181971
900	684873	335175	1020048
1000	569968	146417	716385
1100	651467	504625	1156092
1200	1241031	457005	1698036
1300	495399	200205	695604
1400	1108949	349288	1458237
1500	570701	828679	1399380
1600	496126	460807	956933
1700	357479	679505	1036984
1800	526528	259122	785650
1900	857973	344510	1202483
