bin start	sense overlap	antisense overlap	total overlap
-3000	2628764	2727025	5355789
-2900	2666027	2571009	5237036
-2800	2524986	2465612	4990598
-2700	2656321	2556600	5212921
-2600	2641120	2693931	5335051
-2500	2650867	2815939	5466806
-2400	2944897	2761474	5706371
-2300	2874746	2914759	5789505
-2200	2979427	2846799	5826226
-2100	2836856	2850381	5687237
-2000	2970440	3000409	5970849
-1900	3030454	3065805	6096259
-1800	3190259	3297493	6487752
-1700	3107871	3289705	6397576
-1600	3522282	3498756	7021038
-1500	3535270	3520574	7055844
-1400	3487312	3397323	6884635
-1300	3752731	3614402	7367133
-1200	3863547	3742733	7606280
-1100	3913070	3911941	7825011
-1000	4242412	4090791	8333203
-900	4540291	4490371	9030662
-800	4769722	4747027	9516749
-700	5644205	5336404	10980609
-600	6165567	5778884	11944451
-500	7004833	6568092	13572925
-400	7868583	7062021	14930604
-300	8346523	6936868	15283391
-200	7827147	5895901	13723048
-100	2987815	2242057	5229872
0	1073558	1028169	2101727
100	1090774	911927	2002701
200	1052315	1081555	2133870
300	1254439	1264619	2519058
400	1564346	1540615	3104961
500	1723661	1912774	3636435
600	1879315	2027102	3906417
700	1862415	1990774	3853189
800	2249543	2261480	4511023
900	2299411	2141197	4440608
1000	2339533	2148125	4487658
1100	2421124	2287085	4708209
1200	2314380	2190440	4504820
1300	2369945	2046353	4416298
1400	2162535	2091617	4254152
1500	2119626	2130456	4250082
1600	2241275	2120850	4362125
1700	2239751	2206720	4446471
1800	2389070	2149599	4538669
1900	2283436	2245170	4528606
