bin start	sense overlap	antisense overlap	total overlap
-1999	1353136	1267772	2620908
-1899	1425083	1334337	2759420
-1799	1438000	1337919	2775919
-1699	1388881	1361563	2750444
-1599	1356681	1246027	2602708
-1499	1604691	1208659	2813350
-1399	1305198	1197246	2502444
-1299	1319349	1183282	2502631
-1199	1295617	1234551	2530168
-1099	1356739	1176956	2533695
-999	1345179	1180711	2525890
-899	1197964	1149536	2347500
-799	1077146	971968	2049114
-699	1016622	953820	1970442
-599	915142	890096	1805238
-499	799713	785886	1585599
-399	751359	756013	1507372
-299	792485	879759	1672244
-199	880563	881322	1761885
-99	1061777	1091089	2152866
1	1587900	1641208	3229108
101	2031971	2123813	4155784
201	2224726	2231000	4455726
301	2229653	2340760	4570413
401	2239042	2220285	4459327
501	2228053	2188804	4416857
601	2342486	2270404	4612890
701	2240468	2142939	4383407
801	2174269	2113267	4287536
901	2013310	2025403	4038713
1001	1895677	1799422	3695099
1101	2069546	1929545	3999091
1201	1827476	1767444	3594920
1301	1793076	1814572	3607648
1401	1945476	1825091	3770567
1501	1769058	1633926	3402984
1601	1644172	1614159	3258331
1701	1660938	1554262	3215200
1801	1579406	1580028	3159434
1901	1485092	1519481	3004573
2001	1537600	1561108	3098708
2101	1531597	1471339	3002936
2201	1533124	1396765	2929889
2301	1392681	1416187	2808868
2401	1458520	1384759	2843279
2501	1381050	1373110	2754160
2601	1376592	1314908	2691500
2701	1338861	1332638	2671499
2801	1307856	1338197	2646053
2901	1234557	1181030	2415587
