bin start	sense overlap	antisense overlap	total overlap
-1999	1734479	1706562	3441041
-1899	1816702	1998383	3815085
-1799	1741282	1877623	3618905
-1699	1573794	2229410	3803204
-1599	1656840	1716613	3373453
-1499	1788449	1320679	3109128
-1399	1655686	1279194	2934880
-1299	1491032	1696484	3187516
-1199	2078611	1983421	4062032
-1099	2029326	2381066	4410392
-999	2095893	2401859	4497752
-899	2286988	1625414	3912402
-799	2848928	2095259	4944187
-699	1981612	1343356	3324968
-599	2156991	1669704	3826695
-499	2399018	2556797	4955815
-399	2813731	2212308	5026039
-299	2215044	1905290	4120334
-199	2488832	2226029	4714861
-99	3203713	2073169	5276882
1	2155280	1936901	4092181
101	1821133	1804173	3625306
201	2321139	1947817	4268956
301	2336760	2214332	4551092
401	2889603	1903425	4793028
501	2696710	2328290	5025000
601	2369137	2339976	4709113
701	2581121	3058735	5639856
801	3041748	3151735	6193483
901	3373590	2515417	5889007
1001	3333896	2719239	6053135
1101	2394632	2568332	4962964
1201	2172875	2141462	4314337
1301	1664016	1760122	3424138
1401	2195519	1951407	4146926
1501	2183117	1905599	4088716
1601	2208267	2132413	4340680
1701	1842108	2079549	3921657
1801	2094366	1927040	4021406
1901	2446925	2289248	4736173
2001	3057552	2312903	5370455
2101	2213898	2736367	4950265
2201	2417690	2303714	4721404
2301	2597778	2265958	4863736
2401	3003939	2644931	5648870
2501	2137787	2044115	4181902
2601	2257695	2354381	4612076
2701	2554249	2499698	5053947
2801	2127129	2509853	4636982
2901	2356359	2261372	4617731
