bin start	sense overlap	antisense overlap	total overlap
-3000	2508934	2200717	4709651
-2900	1963455	1836162	3799617
-2800	1721944	2248916	3970860
-2700	2040782	2735220	4776002
-2600	2492697	2271495	4764192
-2500	2492521	1959751	4452272
-2400	2100644	2343325	4443969
-2300	2685939	2515064	5201003
-2200	2656146	2590383	5246529
-2100	1940886	2162618	4103504
-2000	2598297	2155269	4753566
-1900	2566405	2167187	4733592
-1800	2323192	2039098	4362290
-1700	2426970	2206329	4633299
-1600	1991631	1989464	3981095
-1500	2401515	2367274	4768789
-1400	2288737	2058500	4347237
-1300	2576499	2223001	4799500
-1200	2505920	2447502	4953422
-1100	2472418	3061810	5534228
-1000	2921931	2716789	5638720
-900	2409474	2332788	4742262
-800	3044942	2856282	5901224
-700	2780512	2705372	5485884
-600	2851304	3255414	6106718
-500	2859922	2296434	5156356
-400	2397695	2686167	5083862
-300	2821850	3288472	6110322
-200	3387388	2961168	6348556
-100	3126686	2160889	5287575
0	2617485	1938014	4555499
100	2494718	2224218	4718936
200	1911103	1898716	3809819
300	2812924	2156017	4968941
400	2077021	2325212	4402233
500	1784016	2087316	3871332
600	2064031	1613118	3677149
700	2337450	1685083	4022533
800	1652418	1444215	3096633
900	2125033	1519917	3644950
1000	1385976	1199032	2585008
1100	1790653	1406461	3197114
1200	1866258	1512960	3379218
1300	1783490	1468260	3251750
1400	2010949	1877062	3888011
1500	1719095	1469073	3188168
1600	2068938	1964811	4033749
1700	1685976	1955229	3641205
1800	2155820	2086762	4242582
1900	2537672	1804809	4342481
