bin start	sense overlap	antisense overlap	total overlap
-1999	1312679	1063277	2375956
-1899	1280822	1066201	2347023
-1799	1312486	1199977	2512463
-1699	1262521	1278760	2541281
-1599	1232697	1113055	2345752
-1499	1455681	1158475	2614156
-1399	1214634	1146287	2360921
-1299	1148648	1016304	2164952
-1199	1269817	995119	2264936
-1099	1171591	1095762	2267353
-999	1335663	1045185	2380848
-899	1103334	986225	2089559
-799	1049350	778619	1827969
-699	1063441	872174	1935615
-599	1016684	747765	1764449
-499	937240	723149	1660389
-399	878550	636906	1515456
-299	831308	709149	1540457
-199	1036253	803089	1839342
-99	1123426	1014905	2138331
1	1464626	1356557	2821183
101	1834108	1619775	3453883
201	1844773	1896021	3740794
301	1894494	1920729	3815223
401	1966676	1925865	3892541
501	2049711	1829370	3879081
601	2010116	1957661	3967777
701	1796690	1782964	3579654
801	1854523	1969709	3824232
901	1848309	1749268	3597577
1001	1598086	1595076	3193162
1101	1915245	1561807	3477052
1201	1675603	1611401	3287004
1301	1607352	1444878	3052230
1401	2172344	1634463	3806807
1501	1593279	1402866	2996145
1601	1430843	1460875	2891718
1701	1443674	1312912	2756586
1801	1419363	1351364	2770727
1901	1330441	1371762	2702203
2001	1327920	1448235	2776155
2101	1344517	1511666	2856183
2201	1501205	1278755	2779960
2301	1291572	1236825	2528397
2401	1276322	1119291	2395613
2501	1193712	1083997	2277709
2601	1338020	1182372	2520392
2701	1221769	1134286	2356055
2801	1161970	1041339	2203309
2901	1190862	984945	2175807
