bin start	sense overlap	antisense overlap	total overlap
-3000	1372364	1331636	2704000
-2900	1379882	1358550	2738432
-2800	1289089	1141242	2430331
-2700	1382559	1402641	2785200
-2600	1368388	1576682	2945070
-2500	1442703	1371168	2813871
-2400	1406207	1347070	2753277
-2300	1549003	1398701	2947704
-2200	1564616	1264971	2829587
-2100	1456010	1422593	2878603
-2000	1405013	1512341	2917354
-1900	1662200	1495179	3157379
-1800	1557948	1821704	3379652
-1700	1643462	1553171	3196633
-1600	1850864	1632167	3483031
-1500	1725923	1770014	3495937
-1400	1826891	1731253	3558144
-1300	1990473	1865019	3855492
-1200	1912260	1891771	3804031
-1100	2003903	1975365	3979268
-1000	2208909	2021879	4230788
-900	2244115	2273104	4517219
-800	2254808	2300090	4554898
-700	2901622	2620060	5521682
-600	2991403	2961820	5953223
-500	3393890	3409536	6803426
-400	3966159	3469799	7435958
-300	4176451	3644829	7821280
-200	3759476	3058466	6817942
-100	1720800	1233324	2954124
0	950565	650703	1601268
100	824489	535844	1360333
200	798578	625794	1424372
300	888874	701071	1589945
400	996868	726449	1723317
500	996043	986641	1982684
600	1174271	1003143	2177414
700	1050742	1022779	2073521
800	1240977	1072536	2313513
900	1283380	1076274	2359654
1000	1291029	1017444	2308473
1100	1228331	1221840	2450171
1200	1265328	1022666	2287994
1300	1244748	965514	2210262
1400	1239107	1022665	2261772
1500	1196687	1036409	2233096
1600	1125681	1018338	2144019
1700	1073926	954796	2028722
1800	1338406	1061823	2400229
1900	1226969	1084512	2311481
