bin start	sense overlap	antisense overlap	total overlap
-1999	1032551	924694	1957245
-1899	966280	912975	1879255
-1799	994655	948244	1942899
-1699	972056	899821	1871877
-1599	943840	846281	1790121
-1499	990659	838455	1829114
-1399	876514	826419	1702933
-1299	888981	843770	1732751
-1199	908214	838941	1747155
-1099	891551	794280	1685831
-999	864142	808329	1672471
-899	804782	781634	1586416
-799	708933	649858	1358791
-699	651926	611409	1263335
-599	594616	548600	1143216
-499	539658	498207	1037865
-399	501354	459307	960661
-299	521812	525462	1047274
-199	585454	599091	1184545
-99	693757	715454	1409211
1	1027160	1069358	2096518
101	1359611	1408936	2768547
201	1394782	1393400	2788182
301	1417731	1427166	2844897
401	1424384	1421053	2845437
501	1443615	1425045	2868660
601	1455832	1463687	2919519
701	1468376	1475094	2943470
801	1469967	1428012	2897979
901	1362675	1344993	2707668
1001	1316432	1254240	2570672
1101	1445397	1264964	2710361
1201	1226901	1139392	2366293
1301	1199773	1164115	2363888
1401	1285484	1288120	2573604
1501	1196328	1144839	2341167
1601	1203326	1178514	2381840
1701	1106765	1091637	2198402
1801	1095844	1069480	2165324
1901	1091331	1075686	2167017
2001	1032576	1064126	2096702
2101	1049342	1021723	2071065
2201	1022713	1002513	2025226
2301	990846	991682	1982528
2401	1018517	998851	2017368
2501	960262	932021	1892283
2601	937971	897148	1835119
2701	906524	905430	1811954
2801	930222	898206	1828428
2901	899196	856362	1755558
