bin start	sense overlap	antisense overlap	total overlap
-3000	1028217	1069704	2097921
-2900	1020586	1033117	2053703
-2800	1015675	1011514	2027189
-2700	1048874	1032694	2081568
-2600	1050138	1030680	2080818
-2500	1076893	1080018	2156911
-2400	1100843	1060478	2161321
-2300	1122051	1111619	2233670
-2200	1194191	1186065	2380256
-2100	1159156	1176174	2335330
-2000	1169230	1192905	2362135
-1900	1195907	1174193	2370100
-1800	1253568	1259573	2513141
-1700	1267204	1288033	2555237
-1600	1397467	1384776	2782243
-1500	1443075	1468123	2911198
-1400	1450932	1421902	2872834
-1300	1440711	1397999	2838710
-1200	1498248	1489730	2987978
-1100	1589534	1574671	3164205
-1000	1735703	1639991	3375694
-900	1805492	1769955	3575447
-800	1973171	1897332	3870503
-700	2249695	2137399	4387094
-600	2402586	2225444	4628030
-500	2860512	2426476	5286988
-400	3160158	2747059	5907217
-300	3721483	3025231	6746714
-200	3376588	2559767	5936355
-100	1178890	892329	2071219
0	480884	405432	886316
100	936325	343635	1279960
200	413131	380244	793375
300	526340	510903	1037243
400	583128	568001	1151129
500	645620	647903	1293523
600	717318	743008	1460326
700	727617	773334	1500951
800	847767	832959	1680726
900	900829	853241	1754070
1000	943472	896914	1840386
1100	894832	877628	1772460
1200	873462	850076	1723538
1300	917072	823346	1740418
1400	889397	815188	1704585
1500	871501	803773	1675274
1600	885333	808135	1693468
1700	830198	866109	1696307
1800	932256	806482	1738738
1900	904886	819888	1724774
