bin start	sense overlap	antisense overlap	total overlap
-1999	1155992	1149473	2305465
-1899	2229003	773640	3002643
-1799	960848	872839	1833687
-1699	972801	830093	1802894
-1599	1525960	838995	2364955
-1499	984015	1024214	2008229
-1399	1288053	896094	2184147
-1299	1138837	752141	1890978
-1199	1263126	732552	1995678
-1099	1261028	773195	2034223
-999	1120850	732546	1853396
-899	1115516	799482	1914998
-799	1269107	1052614	2321721
-699	1169879	1643134	2813013
-599	1300410	1427397	2727807
-499	1225270	1157771	2383041
-399	1358434	1120021	2478455
-299	1466660	1116167	2582827
-199	1580062	1668082	3248144
-99	2979329	1492879	4472208
1	1682871	868973	2551844
101	2152818	964191	3117009
201	1155666	895662	2051328
301	1827885	915610	2743495
401	1727564	935407	2662971
501	1192342	1100877	2293219
601	1332254	1103812	2436066
701	1387216	1212030	2599246
801	1737741	1247619	2985360
901	1619639	1141098	2760737
1001	1372155	1333950	2706105
1101	1256019	1105323	2361342
1201	1336096	1167117	2503213
1301	1165546	1198756	2364302
1401	1090346	1627007	2717353
1501	1202398	1495661	2698059
1601	1145619	1242152	2387771
1701	1107142	1245678	2352820
1801	1224718	1231132	2455850
1901	1123493	2467387	3590880
2001	1087898	2157721	3245619
2101	1008443	1533908	2542351
2201	1148641	1461920	2610561
2301	1035166	1380832	2415998
2401	1133157	1281922	2415079
2501	1112767	1050822	2163589
2601	1078819	1106940	2185759
2701	1018359	1021785	2040144
2801	995822	1019691	2015513
2901	973176	991461	1964637
