bin start	sense overlap	antisense overlap	total overlap
-3000	1350898	1029544	2380442
-2900	1229873	1198530	2428403
-2800	1211414	1047084	2258498
-2700	1081900	1139603	2221503
-2600	1087650	1164421	2252071
-2500	2001637	1212580	3214217
-2400	1421953	1160750	2582703
-2300	1271427	1499414	2770841
-2200	1215155	1482052	2697207
-2100	1249644	1276616	2526260
-2000	1382289	1228045	2610334
-1900	1924525	1251080	3175605
-1800	1489420	1369496	2858916
-1700	1705296	1280207	2985503
-1600	1493244	1357381	2850625
-1500	1542897	2138883	3681780
-1400	1385305	1452785	2838090
-1300	1818066	1367074	3185140
-1200	1544407	1310368	2854775
-1100	1511185	1366659	2877844
-1000	1717501	1483026	3200527
-900	1437962	1559813	2997775
-800	1454855	1364414	2819269
-700	1627337	1411643	3038980
-600	1897000	1304367	3201367
-500	1734064	1302193	3036257
-400	1432154	1214707	2646861
-300	1422868	1270265	2693133
-200	1283384	1344519	2627903
-100	1583827	1314055	2897882
0	2449106	1416770	3865876
100	1728317	1312559	3040876
200	2529582	1046041	3575623
300	1224971	1060500	2285471
400	1158008	905478	2063486
500	1196930	1134559	2331489
600	1226040	1015768	2241808
700	1033299	837458	1870757
800	1161244	819711	1980955
900	1199590	752347	1951937
1000	1158462	702222	1860684
1100	1104038	1207901	2311939
1200	1442891	815746	2258637
1300	1237494	729367	1966861
1400	1715667	813951	2529618
1500	980946	1535616	2516562
1600	1072572	1145111	2217683
1700	761656	901635	1663291
1800	1194099	773063	1967162
1900	1806309	772611	2578920
