bin start	sense overlap	antisense overlap	total overlap
-1999	331010	299022	630032
-1899	352119	270972	623091
-1799	323015	286248	609263
-1699	362491	296521	659012
-1599	338971	282834	621805
-1499	519958	288596	808554
-1399	339203	278346	617549
-1299	316976	275447	592423
-1199	356601	275947	632548
-1099	410621	289169	699790
-999	328743	270797	599540
-899	368979	280339	649318
-799	321221	250873	572094
-699	302707	234150	536857
-599	284281	234080	518361
-499	276176	234485	510661
-399	256623	205795	462418
-299	282746	231829	514575
-199	270202	226331	496533
-99	302447	255809	558256
1	358479	336195	694674
101	416652	399668	816320
201	424598	420643	845241
301	444419	443453	887872
401	453680	463474	917154
501	469875	439573	909448
601	442855	478615	921470
701	443055	453965	897020
801	450192	425202	875394
901	446231	424031	870262
1001	422414	392933	815347
1101	735812	401043	1136855
1201	395898	378089	773987
1301	375519	397425	772944
1401	401087	502198	903285
1501	492453	408609	901062
1601	390516	387728	778244
1701	365662	340050	705712
1801	385189	347336	732525
1901	358708	368024	726732
2001	345776	408773	754549
2101	343092	383987	727079
2201	354303	310401	664704
2301	328067	309197	637264
2401	337588	314030	651618
2501	306711	289016	595727
2601	303364	277555	580919
2701	313355	284629	597984
2801	294007	279750	573757
2901	308199	297182	605381
