bin start	sense overlap	antisense overlap	total overlap
-3000	339524	340999	680523
-2900	350467	326140	676607
-2800	352613	329172	681785
-2700	353331	337128	690459
-2600	341467	328465	669932
-2500	366513	375418	741931
-2400	365115	349907	715022
-2300	385968	360863	746831
-2200	360403	361927	722330
-2100	366816	364897	731713
-2000	368062	353872	721934
-1900	407735	397318	805053
-1800	385026	488186	873212
-1700	411593	433044	844637
-1600	447947	458930	906877
-1500	451892	445452	897344
-1400	458424	433672	892096
-1300	477291	455369	932660
-1200	479504	481864	961368
-1100	488149	472774	960923
-1000	559226	526968	1086194
-900	573611	569430	1143041
-800	626697	620258	1246955
-700	728382	741429	1469811
-600	774354	710423	1484777
-500	826946	766723	1593669
-400	983852	855337	1839189
-300	1065458	921046	1986504
-200	1057831	852546	1910377
-100	483962	427001	910963
0	343405	267368	610773
100	538798	226598	765396
200	301774	190944	492718
300	325528	223646	549174
400	290079	216908	506987
500	305074	253822	558896
600	288524	251261	539785
700	296960	246878	543838
800	297040	264714	561754
900	350893	270068	620961
1000	325270	259555	584825
1100	332033	289184	621217
1200	392568	238406	630974
1300	343956	233341	577297
1400	300161	248024	548185
1500	279206	241252	520458
1600	307983	234930	542913
1700	279973	254291	534264
1800	370011	243711	613722
1900	298494	244782	543276
