bin start	sense overlap	antisense overlap	total overlap
-1999	465826	401606	867432
-1899	496798	384476	881274
-1799	464735	403475	868210
-1699	496061	413146	909207
-1599	458426	388349	846775
-1499	665793	419330	1085123
-1399	472693	391890	864583
-1299	433155	382443	815598
-1199	483981	379684	863665
-1099	525815	384963	910778
-999	446349	360594	806943
-899	486133	384881	871014
-799	423515	342679	766194
-699	396065	322301	718366
-599	391473	312112	703585
-499	387544	326824	714368
-399	362130	300285	662415
-299	383219	320994	704213
-199	383649	332022	715671
-99	404336	344349	748685
1	490081	468904	958985
101	587208	560835	1148043
201	601429	585052	1186481
301	638987	645038	1284025
401	633843	683472	1317315
501	681986	652199	1334185
601	631949	694146	1326095
701	641792	655193	1296985
801	647334	632377	1279711
901	647454	615801	1263255
1001	600732	553957	1154689
1101	1065351	575840	1641191
1201	569675	544005	1113680
1301	533481	596704	1130185
1401	581530	651434	1232964
1501	599295	570520	1169815
1601	524629	527529	1052158
1701	500771	474677	975448
1801	509475	484000	993475
1901	493871	521318	1015189
2001	485736	564713	1050449
2101	491461	490220	981681
2201	495607	462279	957886
2301	455224	437553	892777
2401	465170	439800	904970
2501	429134	410706	839840
2601	420856	385294	806150
2701	419848	404281	824129
2801	411222	394885	806107
2901	429253	406230	835483
