bin start	sense overlap	antisense overlap	total overlap
-3000	477806	482418	960224
-2900	483089	468387	951476
-2800	482852	450595	933447
-2700	480169	469097	949266
-2600	464183	462929	927112
-2500	506319	514370	1020689
-2400	495662	485900	981562
-2300	509814	497178	1006992
-2200	504403	505142	1009545
-2100	514308	503409	1017717
-2000	520735	499793	1020528
-1900	554235	542978	1097213
-1800	551640	629365	1181005
-1700	566494	601727	1168221
-1600	630224	611518	1241742
-1500	629999	631195	1261194
-1400	639265	614697	1253962
-1300	669432	631325	1300757
-1200	684022	686877	1370899
-1100	675173	675120	1350293
-1000	789537	744621	1534158
-900	804985	795453	1600438
-800	861633	844972	1706605
-700	983088	993933	1977021
-600	1034145	934142	1968287
-500	1116204	1036096	2152300
-400	1283349	1130128	2413477
-300	1398728	1187313	2586041
-200	1345539	1072835	2418374
-100	620501	535503	1156004
0	432541	352040	784581
100	861242	296346	1157588
200	414344	261017	675361
300	411258	282896	694154
400	377229	294366	671595
500	405066	336580	741646
600	402071	352545	754616
700	401009	352742	753751
800	409690	365077	774767
900	479070	384683	863753
1000	465517	367245	832762
1100	475424	405899	881323
1200	501126	353890	855016
1300	485585	344077	829662
1400	429435	354459	783894
1500	409121	354243	763364
1600	433961	355661	789622
1700	420097	397141	817238
1800	522009	363629	885638
1900	430949	353376	784325
