bin start	sense overlap	antisense overlap	total overlap
-1999	168689	146406	315095
-1899	156918	143499	300417
-1799	163888	136898	300786
-1699	167666	133679	301345
-1599	169745	165992	335737
-1499	174505	121123	295628
-1399	148993	136088	285081
-1299	156291	120480	276771
-1199	160392	127030	287422
-1099	164886	127822	292708
-999	164322	117887	282209
-899	184319	133961	318280
-799	179359	126647	306006
-699	167054	138245	305299
-599	184494	141483	325977
-499	182547	133211	315758
-399	194011	139303	333314
-299	208522	133276	341798
-199	178077	149348	327425
-99	171979	138649	310628
1	166146	139164	305310
101	169532	167154	336686
201	191121	196102	387223
301	199225	204152	403377
401	222621	235895	458516
501	218988	225754	444742
601	235347	244983	480330
701	234670	241551	476221
801	282998	250949	533947
901	261467	235356	496823
1001	251674	234382	486056
1101	247094	228754	475848
1201	217363	234164	451527
1301	215645	264734	480379
1401	223114	209669	432783
1501	210067	209494	419561
1601	192588	206746	399334
1701	189934	188266	378200
1801	196764	186637	383401
1901	188252	184306	372558
2001	173327	186638	359965
2101	170327	176020	346347
2201	177995	170004	347999
2301	178253	180259	358512
2401	184738	170096	354834
2501	158976	165914	324890
2601	156396	168860	325256
2701	159189	155250	314439
2801	156850	157029	313879
2901	177976	163046	341022
