bin start	sense overlap	antisense overlap	total overlap
-3000	180068	170809	350877
-2900	185528	181165	366693
-2800	196182	174475	370657
-2700	177038	174348	351386
-2600	183917	197139	381056
-2500	202740	186998	389738
-2400	212872	199107	411979
-2300	196678	191676	388354
-2200	210467	193140	403607
-2100	227003	204743	431746
-2000	223864	213408	437272
-1900	215244	251874	467118
-1800	222191	218622	440813
-1700	260867	248569	509436
-1600	245146	241167	486313
-1500	249080	258835	507915
-1400	249714	246563	496277
-1300	266853	235717	502570
-1200	268611	302831	571442
-1100	310728	280978	591706
-1000	298561	291929	590490
-900	373291	313718	687009
-800	324292	326984	651276
-700	402305	344444	746749
-600	341731	337125	678856
-500	339231	335065	674296
-400	311858	281523	593381
-300	254397	234313	488710
-200	167222	172506	339728
-100	147276	135124	282400
0	166699	136276	302975
100	593378	145625	739003
200	160053	127549	287602
300	162035	124532	286567
400	158391	133969	292360
500	169084	118407	287491
600	151854	118152	270006
700	143612	139017	282629
800	141464	115829	257293
900	214649	127462	342111
1000	152458	127162	279620
1100	164706	117875	282581
1200	154956	134505	289461
1300	181054	148354	329408
1400	177139	144138	321277
1500	170416	141100	311516
1600	180140	143808	323948
1700	164968	151704	316672
1800	183735	137402	321137
1900	170965	141263	312228
