bin start	sense overlap	antisense overlap	total overlap
-1999	157518	131169	288687
-1899	155547	139864	295411
-1799	156200	140614	296814
-1699	175391	162959	338350
-1599	171520	147696	319216
-1499	162506	124607	287113
-1399	142279	125410	267689
-1299	142625	122100	264725
-1199	167974	144809	312783
-1099	174246	123097	297343
-999	149081	117893	266974
-899	147925	131340	279265
-799	140304	109218	249522
-699	129014	97080	226094
-599	118486	99772	218258
-499	106923	85351	192274
-399	98377	75193	173570
-299	128618	84372	212990
-199	119127	97946	217073
-99	106220	99687	205907
1	166323	164388	330711
101	206852	232739	439591
201	252090	239594	491684
301	238768	243412	482180
401	237619	227987	465606
501	246337	224715	471052
601	225086	251091	476177
701	246572	221785	468357
801	245008	220232	465240
901	222376	211199	433575
1001	249020	193809	442829
1101	225507	204804	430311
1201	206850	220162	427012
1301	171007	228305	399312
1401	185250	205151	390401
1501	177252	187659	364911
1601	188681	182594	371275
1701	167014	159236	326250
1801	174220	183939	358159
1901	170900	163948	334848
2001	157844	193850	351694
2101	155904	164916	320820
2201	176839	171377	348216
2301	176314	160966	337280
2401	168873	164434	333307
2501	137069	143248	280317
2601	163886	134392	298278
2701	149618	141883	291501
2801	130584	138944	269528
2901	154571	133996	288567
