bin start	sense overlap	antisense overlap	total overlap
-3000	168770	197702	366472
-2900	174947	277584	452531
-2800	169909	162812	332721
-2700	177097	152836	329933
-2600	156947	163957	320904
-2500	168123	172718	340841
-2400	177565	180584	358149
-2300	173322	199047	372369
-2200	184035	177025	361060
-2100	197536	203714	401250
-2000	198060	176914	374974
-1900	321340	219160	540500
-1800	201111	194133	395244
-1700	206758	216363	423121
-1600	212960	205122	418082
-1500	228936	221167	450103
-1400	231494	223586	455080
-1300	231431	215592	447023
-1200	225546	256618	482164
-1100	256212	225314	481526
-1000	259209	238910	498119
-900	268243	254529	522772
-800	284380	313375	597755
-700	370476	332898	703374
-600	372853	359484	732337
-500	410958	399612	810570
-400	489403	394501	883904
-300	549385	406879	956264
-200	483138	358136	841274
-100	186804	171299	358103
0	83563	67321	150884
100	513829	69962	583791
200	78487	64977	143464
300	108405	80499	188904
400	99364	93794	193158
500	145628	110867	256495
600	122964	116925	239889
700	120252	134160	254412
800	135814	122122	257936
900	188328	117074	305402
1000	131083	121895	252978
1100	141495	126863	268358
1200	153120	125086	278206
1300	148651	125571	274222
1400	157716	129461	287177
1500	161633	132278	293911
1600	155859	125942	281801
1700	156864	146444	303308
1800	145872	130500	276372
1900	155236	125716	280952
