bin start	sense overlap	antisense overlap	total overlap
-1999	149989	174225	324214
-1899	191909	161387	353296
-1799	208669	235575	444244
-1699	185147	200251	385398
-1599	205403	131488	336891
-1499	153143	160183	313326
-1399	223554	137495	361049
-1299	185065	191361	376426
-1199	250169	231263	481432
-1099	194342	289597	483939
-999	301694	182861	484555
-899	231275	134309	365584
-799	267074	279158	546232
-699	193575	122341	315916
-599	302786	221680	524466
-499	255159	286952	542111
-399	373338	243000	616338
-299	349977	243810	593787
-199	262893	310246	573139
-99	365903	340219	706122
1	252671	250634	503305
101	223701	206556	430257
201	257041	231271	488312
301	232877	221857	454734
401	356521	253030	609551
501	302707	314385	617092
601	227257	275166	502423
701	315786	380710	696496
801	319282	367430	686712
901	294897	242240	537137
1001	364653	342860	707513
1101	248794	282579	531373
1201	217752	245811	463563
1301	192331	205772	398103
1401	192535	156599	349134
1501	239547	165779	405326
1601	163344	248922	412266
1701	192767	256366	449133
1801	247418	238997	486415
1901	250873	362272	613145
2001	343783	251909	595692
2101	224934	175231	400165
2201	210107	165157	375264
2301	253370	208500	461870
2401	272990	215108	488098
2501	234965	271377	506342
2601	209637	267242	476879
2701	320629	238774	559403
2801	157305	243829	401134
2901	258639	204558	463197
