bin start	sense overlap	antisense overlap	total overlap
-3000	359245	237698	596943
-2900	201454	189154	390608
-2800	181507	293882	475389
-2700	192921	288762	481683
-2600	405416	213495	618911
-2500	315385	127295	442680
-2400	245564	228676	474240
-2300	294078	341310	635388
-2200	339322	215681	555003
-2100	218906	271898	490804
-2000	214831	207209	422040
-1900	231935	227126	459061
-1800	265982	200511	466493
-1700	257072	261065	518137
-1600	152304	280424	432728
-1500	270759	240361	511120
-1400	287462	217114	504576
-1300	211490	307602	519092
-1200	209156	251769	460925
-1100	189194	280069	469263
-1000	278557	290410	568967
-900	246837	191180	438017
-800	337248	304624	641872
-700	240611	282460	523071
-600	402644	316138	718782
-500	268575	242698	511273
-400	336345	314502	650847
-300	249764	326909	576673
-200	414046	392020	806066
-100	410685	285193	695878
0	440174	252804	692978
100	469911	367761	837672
200	287676	242996	530672
300	335161	288294	623455
400	298283	318807	617090
500	188244	204801	393045
600	285420	180190	465610
700	183984	171391	355375
800	170126	152545	322671
900	232355	172010	404365
1000	92372	117777	210149
1100	141219	131461	272680
1200	188581	169229	357810
1300	182028	144494	326522
1400	156528	198842	355370
1500	183465	116274	299739
1600	162583	173871	336454
1700	151980	191154	343134
1800	182148	201819	383967
1900	203232	201755	404987
