bin start	sense overlap	antisense overlap	total overlap
-1999	191406	308844	500250
-1899	369838	280508	650346
-1799	206083	232814	438897
-1699	232182	269166	501348
-1599	278246	240578	518824
-1499	285047	178858	463905
-1399	190539	218250	408789
-1299	203647	131386	335033
-1199	242700	278456	521156
-1099	283535	276474	560009
-999	244611	224796	469407
-899	351740	218957	570697
-799	463112	329477	792589
-699	253276	194153	447429
-599	336468	308839	645307
-499	322125	295240	617365
-399	591240	318885	910125
-299	469220	283058	752278
-199	476992	286683	763675
-99	443934	383711	827645
1	398456	368185	766641
101	196703	220907	417610
201	261812	320192	582004
301	378625	334158	712783
401	353997	273251	627248
501	370679	290448	661127
601	315952	384953	700905
701	348833	393277	742110
801	397940	475231	873171
901	340566	366298	706864
1001	473491	398607	872098
1101	250817	300304	551121
1201	248593	335500	584093
1301	224734	274616	499350
1401	298969	240634	539603
1501	286616	267860	554476
1601	173425	385418	558843
1701	268112	253089	521201
1801	296090	331246	627336
1901	313659	365525	679184
2001	358416	286046	644462
2101	224064	317397	541461
2201	288202	277304	565506
2301	325841	329780	655621
2401	479452	324037	803489
2501	278131	249508	527639
2601	319463	314560	634023
2701	357964	271817	629781
2801	238225	309317	547542
2901	315557	216843	532400
