bin start	sense overlap	antisense overlap	total overlap
-3000	324663	281944	606607
-2900	272646	251152	523798
-2800	213756	283235	496991
-2700	264005	441540	705545
-2600	355367	339581	694948
-2500	364511	203082	567593
-2400	328931	260969	589900
-2300	349492	414058	763550
-2200	330531	383742	714273
-2100	256180	335171	591351
-2000	310366	339915	650281
-1900	300729	321249	621978
-1800	352793	227833	580626
-1700	363143	275423	638566
-1600	211926	243315	455241
-1500	355704	246300	602004
-1400	396872	263023	659895
-1300	356888	274801	631689
-1200	277578	249271	526849
-1100	323279	345420	668699
-1000	280165	325827	605992
-900	351523	329045	680568
-800	469141	541734	1010875
-700	337563	332320	669883
-600	397741	485026	882767
-500	358318	312131	670449
-400	293328	415113	708441
-300	504169	373344	877513
-200	520683	511717	1032400
-100	624906	399713	1024619
0	520289	382710	902999
100	445274	445181	890455
200	311395	241791	553186
300	453076	379313	832389
400	339620	241197	580817
500	321899	237267	559166
600	471771	196015	667786
700	319136	183532	502668
800	221335	227191	448526
900	321431	253886	575317
1000	249600	186558	436158
1100	257474	184333	441807
1200	257314	198055	455369
1300	258098	206667	464765
1400	368161	209391	577552
1500	169676	187713	357389
1600	259847	168007	427854
1700	247247	228222	475469
1800	273021	257023	530044
1900	233668	163603	397271
