bin start	sense overlap	antisense overlap	total overlap
-1999	440146	355176	795322
-1899	336183	470103	806286
-1799	329043	269685	598728
-1699	282386	352995	635381
-1599	389969	210597	600566
-1499	326610	219303	545913
-1399	424516	248363	672879
-1299	370737	243062	613799
-1199	332554	228806	561360
-1099	444860	360585	805445
-999	293708	192568	486276
-899	428442	297117	725559
-799	423406	590550	1013956
-699	337299	329008	666307
-599	320635	433273	753908
-499	427071	500267	927338
-399	624952	458194	1083146
-299	529873	339030	868903
-199	539861	478321	1018182
-99	540972	569913	1110885
1	405466	386078	791544
101	214077	341719	555796
201	388492	301696	690188
301	449692	375366	825058
401	463002	402117	865119
501	367182	498582	865764
601	414508	472856	887364
701	329377	681970	1011347
801	603572	611171	1214743
901	592812	393445	986257
1001	595072	561900	1156972
1101	545783	411933	957716
1201	356024	421561	777585
1301	335581	323709	659290
1401	435306	307161	742467
1501	388378	337469	725847
1601	298428	305321	603749
1701	307987	410046	718033
1801	308318	203922	512240
1901	416815	410381	827196
2001	450393	400545	850938
2101	414186	416811	830997
2201	507933	360080	868013
2301	422728	390978	813706
2401	493823	422703	916526
2501	311734	397881	709615
2601	369443	504227	873670
2701	427651	426478	854129
2801	383971	348458	732429
2901	295005	515404	810409
