bin start	sense overlap	antisense overlap	total overlap
-3000	421160	506278	927438
-2900	416885	308982	725867
-2800	276256	343692	619948
-2700	313947	443476	757423
-2600	495482	446501	941983
-2500	382456	374966	757422
-2400	372217	351078	723295
-2300	440888	520965	961853
-2200	513174	514693	1027867
-2100	328821	362452	691273
-2000	464512	351086	815598
-1900	361428	369562	730990
-1800	419402	369873	789275
-1700	353036	340565	693601
-1600	288285	357207	645492
-1500	450282	532894	983176
-1400	545242	475666	1020908
-1300	460788	420899	881687
-1200	304599	354943	659542
-1100	415894	544905	960799
-1000	361780	681390	1043170
-900	340831	383835	724666
-800	546617	570913	1117530
-700	342820	398494	741314
-600	608984	514418	1123402
-500	477419	458830	936249
-400	461920	550991	1012911
-300	473638	438285	911923
-200	535753	484153	1019906
-100	583237	504078	1087315
0	817752	408587	1226339
100	738530	547285	1285815
200	437916	473076	910992
300	511457	530722	1042179
400	338364	485286	823650
500	402613	327077	729690
600	473384	315972	789356
700	284686	261558	546244
800	352800	287412	640212
900	313860	273483	587343
1000	235740	232285	468025
1100	265192	220674	485866
1200	241643	250644	492287
1300	384201	320004	704205
1400	301541	254079	555620
1500	223151	282848	505999
1600	425763	275029	700792
1700	334888	409991	744879
1800	277130	289973	567103
1900	435816	342702	778518
