bin start	sense overlap	antisense overlap	total overlap
-1999	874366	857360	1731726
-1899	1105931	924506	2030437
-1799	864995	719755	1584750
-1699	919273	1106064	2025337
-1599	836830	907655	1744485
-1499	778962	664466	1443428
-1399	886643	668719	1555362
-1299	674394	849450	1523844
-1199	1054790	978598	2033388
-1099	1091573	1084130	2175703
-999	1165847	1063886	2229733
-899	1149548	834403	1983951
-799	1486232	1306275	2792507
-699	1140677	798277	1938954
-599	1328345	1162442	2490787
-499	1290177	1490618	2780795
-399	1711778	1389522	3101300
-299	1214313	1119373	2333686
-199	1601795	1309046	2910841
-99	1652321	1427247	3079568
1	1115758	1134287	2250045
101	959473	810845	1770318
201	1170225	1075821	2246046
301	1333233	1206896	2540129
401	1322850	960886	2283736
501	1359014	1186621	2545635
601	1016970	1034428	2051398
701	1357511	1635456	2992967
801	1535747	1724591	3260338
901	1705442	1354529	3059971
1001	1697130	1531476	3228606
1101	1290258	1381043	2671301
1201	1284021	1157924	2441945
1301	892430	847476	1739906
1401	1161480	918979	2080459
1501	1057110	958135	2015245
1601	970016	1212445	2182461
1701	1056811	1098919	2155730
1801	1071320	954715	2026035
1901	1358644	1263938	2622582
2001	1396110	1221889	2617999
2101	1039012	1184703	2223715
2201	1326368	1024033	2350401
2301	940887	1306462	2247349
2401	1540051	1372498	2912549
2501	1062415	1013399	2075814
2601	1102483	1298956	2401439
2701	1165489	1255845	2421334
2801	1010589	1186762	2197351
2901	1243036	1122944	2365980
