bin start	sense overlap	antisense overlap	total overlap
-3000	1372070	1290500	2662570
-2900	1047271	583834	1631105
-2800	876928	874936	1751864
-2700	1279287	1150482	2429769
-2600	1258326	1113962	2372288
-2500	1914446	1518039	3432485
-2400	1616010	1345482	2961492
-2300	1805388	1207786	3013174
-2200	1623147	1167817	2790964
-2100	1458075	1133839	2591914
-2000	1438723	1078127	2516850
-1900	1009263	927203	1936466
-1800	1424369	964453	2388822
-1700	1291902	1255484	2547386
-1600	1251962	1145017	2396979
-1500	1449179	1244889	2694068
-1400	1752647	1054799	2807446
-1300	1031066	736792	1767858
-1200	933668	872444	1806112
-1100	1453697	1352705	2806402
-1000	1593884	1027792	2621676
-900	720430	638907	1359337
-800	1669079	1171742	2840821
-700	1243533	1078678	2322211
-600	1653636	1479367	3133003
-500	1083600	1466058	2549658
-400	1482260	1208917	2691177
-300	1852089	2132228	3984317
-200	1585205	1767978	3353183
-100	1544900	1282212	2827112
0	1984684	1146804	3131488
100	1329739	1426702	2756441
200	985414	1141262	2126676
300	1369901	1483241	2853142
400	1026543	1028102	2054645
500	1141066	696210	1837276
600	1356540	1141132	2497672
700	657334	1300775	1958109
800	1179578	636320	1815898
900	1008824	829185	1838009
1000	531942	543592	1075534
1100	1121375	781571	1902946
1200	1041103	651513	1692616
1300	900867	897321	1798188
1400	933477	548590	1482067
1500	942671	497476	1440147
1600	814353	1241114	2055467
1700	588676	922925	1511601
1800	1050232	908956	1959188
1900	992304	793174	1785478
