bin start	sense overlap	antisense overlap	total overlap
-1999	1043609	1085663	2129272
-1899	1121857	1274891	2396748
-1799	1084558	1138318	2222876
-1699	956208	1409075	2365283
-1599	1051107	1138916	2190023
-1499	1070598	824477	1895075
-1399	1043159	799065	1842224
-1299	867295	1052517	1919812
-1199	1234729	1258312	2493041
-1099	1278589	1458121	2736710
-999	1248487	1410891	2659378
-899	1541831	958786	2500617
-799	1875234	1408575	3283809
-699	1231707	890850	2122557
-599	1346523	1135982	2482505
-499	1527905	1675966	3203871
-399	1888328	1393321	3281649
-299	1431144	1293866	2725010
-199	1623187	1539363	3162550
-99	2057740	1390913	3448653
1	1366054	1188282	2554336
101	1092567	1136245	2228812
201	1465685	1225487	2691172
301	1505204	1412635	2917839
401	1821574	1168122	2989696
501	1698137	1440829	3138966
601	1401984	1515425	2917409
701	1627806	1955453	3583259
801	1977015	2078324	4055339
901	2231183	1618824	3850007
1001	2126714	1772323	3899037
1101	1509422	1664086	3173508
1201	1362709	1313234	2675943
1301	1070525	1096168	2166693
1401	1409823	1156989	2566812
1501	1372618	1138640	2511258
1601	1338367	1402639	2741006
1701	1159520	1289648	2449168
1801	1350373	1213230	2563603
1901	1491367	1430247	2921614
2001	1892855	1443375	3336230
2101	1373962	1699858	3073820
2201	1547727	1399020	2946747
2301	1631366	1455622	3086988
2401	1946960	1668706	3615666
2501	1326710	1252816	2579526
2601	1408120	1535943	2944063
2701	1567546	1525593	3093139
2801	1290913	1567759	2858672
2901	1469809	1336690	2806499
