bin start	sense overlap	antisense overlap	total overlap
-3000	1625969	1422826	3048795
-2900	1171893	1145517	2317410
-2800	1083329	1336054	2419383
-2700	1331345	1741393	3072738
-2600	1551040	1408998	2960038
-2500	1528384	1223213	2751597
-2400	1334646	1447171	2781817
-2300	1649905	1579376	3229281
-2200	1714372	1678468	3392840
-2100	1196147	1350114	2546261
-2000	1665207	1263647	2928854
-1900	1689041	1349444	3038485
-1800	1414853	1344798	2759651
-1700	1510780	1416996	2927776
-1600	1220607	1167117	2387724
-1500	1506771	1476288	2983059
-1400	1479862	1310924	2790786
-1300	1588599	1412900	3001499
-1200	1527088	1546320	3073408
-1100	1588387	1977377	3565764
-1000	1798517	1645762	3444279
-900	1448595	1434813	2883408
-800	1908998	1782149	3691147
-700	1745864	1629001	3374865
-600	1725838	1922223	3648061
-500	1841001	1406276	3247277
-400	1552017	1750876	3302893
-300	1753708	2083789	3837497
-200	2259560	1941059	4200619
-100	2024557	1394357	3418914
0	1694887	1302172	2997059
100	1619720	1496309	3116029
200	1280584	1233867	2514451
300	1847806	1557404	3405210
400	1358472	1522179	2880651
500	1133804	1322910	2456714
600	1411082	1053562	2464644
700	1414546	1105675	2520221
800	1024269	915805	1940074
900	1338696	984234	2322930
1000	868592	735746	1604338
1100	1009722	920782	1930504
1200	1197427	1015886	2213313
1300	1159246	875152	2034398
1400	1275109	1154726	2429835
1500	1139106	900746	2039852
1600	1282662	1261732	2544394
1700	1002177	1214316	2216493
1800	1328358	1346695	2675053
1900	1572267	1130436	2702703
