bin start	sense overlap	antisense overlap	total overlap
-1999	1105973	1193016	2298989
-1899	1229827	1313459	2543286
-1799	1161710	1213011	2374721
-1699	1012458	1475394	2487852
-1599	1122582	1177721	2300303
-1499	1160964	902797	2063761
-1399	1094085	848326	1942411
-1299	910691	1157700	2068391
-1199	1305032	1315663	2620695
-1099	1365171	1505037	2870208
-999	1312654	1503825	2816479
-899	1607744	1015094	2622838
-799	2000572	1513077	3513649
-699	1327963	924784	2252747
-599	1387999	1176701	2564700
-499	1614283	1794289	3408572
-399	2003596	1434747	3438343
-299	1532951	1301568	2834519
-199	1711561	1570176	3281737
-99	2221243	1489550	3710793
1	1423962	1314434	2738396
101	1152176	1185251	2337427
201	1633222	1293704	2926926
301	1606584	1483860	3090444
401	1943488	1288481	3231969
501	1791608	1533408	3325016
601	1485034	1552851	3037885
701	1721683	2125005	3846688
801	2090990	2237358	4328348
901	2301291	1747827	4049118
1001	2229637	1871641	4101278
1101	1566930	1758291	3325221
1201	1463412	1393588	2857000
1301	1132376	1160210	2292586
1401	1453632	1232862	2686494
1501	1430205	1245996	2676201
1601	1425557	1480831	2906388
1701	1212668	1391398	2604066
1801	1414610	1283328	2697938
1901	1555812	1527381	3083193
2001	2023705	1456254	3479959
2101	1443713	1790734	3234447
2201	1625981	1500212	3126193
2301	1683414	1508524	3191938
2401	1996284	1855193	3851477
2501	1409061	1312609	2721670
2601	1492154	1601816	3093970
2701	1660276	1653878	3314154
2801	1386740	1599541	2986281
2901	1586455	1407167	2993622
