bin start	sense overlap	antisense overlap	total overlap
-3000	1724000	1515173	3239173
-2900	1214860	1210622	2425482
-2800	1133747	1412368	2546115
-2700	1397369	1837858	3235227
-2600	1642070	1506316	3148386
-2500	1625833	1276860	2902693
-2400	1441086	1568971	3010057
-2300	1780709	1708106	3488815
-2200	1816523	1768091	3584614
-2100	1300604	1419789	2720393
-2000	1789010	1345161	3134171
-1900	1792841	1439101	3231942
-1800	1522934	1409823	2932757
-1700	1587895	1534408	3122303
-1600	1299525	1248271	2547796
-1500	1605631	1514080	3119711
-1400	1573194	1403309	2976503
-1300	1660919	1515760	3176679
-1200	1700816	1628369	3329185
-1100	1652658	2145720	3798378
-1000	1883376	1742313	3625689
-900	1541517	1517999	3059516
-800	1976235	1917888	3894123
-700	1898429	1723427	3621856
-600	1853131	2051976	3905107
-500	1928447	1556734	3485181
-400	1647028	1829223	3476251
-300	1826329	2237387	4063716
-200	2390348	2031738	4422086
-100	2260211	1502314	3762525
0	1824978	1407671	3232649
100	1693751	1598211	3291962
200	1346165	1305832	2651997
300	1958315	1613489	3571804
400	1400014	1621082	3021096
500	1217802	1384416	2602218
600	1497460	1073379	2570839
700	1504326	1170182	2674508
800	1097570	979539	2077109
900	1427585	1031415	2459000
1000	883553	796475	1680028
1100	1070392	969060	2039452
1200	1270075	1082413	2352488
1300	1256867	984625	2241492
1400	1290356	1245641	2535997
1500	1203231	943633	2146864
1600	1354113	1331007	2685120
1700	1068126	1281807	2349933
1800	1392529	1453074	2845603
1900	1676962	1151579	2828541
