bin start	sense overlap	antisense overlap	total overlap
-1999	922906	855621	1778527
-1899	950922	875381	1826303
-1799	964809	899746	1864555
-1699	959981	890570	1850551
-1599	960763	838641	1799404
-1499	1116007	796839	1912846
-1399	874339	769498	1643837
-1299	906822	774365	1681187
-1199	946250	803677	1749927
-1099	972580	800194	1772774
-999	947920	755962	1703882
-899	864446	762419	1626865
-799	825923	598834	1424757
-699	750643	580619	1331262
-599	678014	558289	1236303
-499	652900	535035	1187935
-399	656594	485230	1141824
-299	636771	538509	1175280
-199	681861	553154	1235015
-99	785644	723874	1509518
1	1050130	1059058	2109188
101	1414772	1411555	2826327
201	1478166	1447045	2925211
301	1540730	1538323	3079053
401	1474388	1462723	2937111
501	1492692	1448903	2941595
601	1556794	1556708	3113502
701	1527748	1434884	2962632
801	1450396	1402523	2852919
901	1318767	1355449	2674216
1001	1265402	1233307	2498709
1101	1361080	1263611	2624691
1201	1219222	1183106	2402328
1301	1179801	1235339	2415140
1401	1273107	1259909	2533016
1501	1157315	1120759	2278074
1601	1032432	1069414	2101846
1701	1115237	1018978	2134215
1801	1025178	1048076	2073254
1901	1008669	993292	2001961
2001	1056593	1046741	2103334
2101	1000377	984690	1985067
2201	1037909	976852	2014761
2301	985223	930038	1915261
2401	952403	884374	1836777
2501	937387	907879	1845266
2601	911490	842571	1754061
2701	860830	871616	1732446
2801	896224	862222	1758446
2901	826880	759783	1586663
