bin start	sense overlap	antisense overlap	total overlap
-3000	1008898	1051187	2060085
-2900	1056420	1001143	2057563
-2800	943627	921900	1865527
-2700	1025640	957098	1982738
-2600	1037716	1007847	2045563
-2500	1037872	1058860	2096732
-2400	1155166	1036423	2191589
-2300	1129656	1086463	2216119
-2200	1095946	1051161	2147107
-2100	1099548	1074848	2174396
-2000	1166402	1090455	2256857
-1900	1205156	1166622	2371778
-1800	1155749	1272645	2428394
-1700	1174800	1230569	2405369
-1600	1368271	1298330	2666601
-1500	1304622	1327331	2631953
-1400	1299352	1250534	2549886
-1300	1416863	1407020	2823883
-1200	1467689	1393195	2860884
-1100	1526111	1546001	3072112
-1000	1655972	1569622	3225594
-900	1732678	1679254	3411932
-800	1765855	1810549	3576404
-700	2190653	2025589	4216242
-600	2298020	2170009	4468029
-500	2635078	2496599	5131677
-400	2934742	2721051	5655793
-300	3034290	2581119	5615409
-200	2829498	2194130	5023628
-100	1188752	852738	2041490
0	486272	366178	852450
100	466509	352187	818696
200	481499	392322	873821
300	547684	447670	995354
400	636609	533132	1169741
500	719864	722875	1442739
600	716119	752567	1468686
700	755772	749860	1505632
800	927085	870253	1797338
900	940035	776238	1716273
1000	939436	858862	1798298
1100	952821	847072	1799893
1200	918055	802086	1720141
1300	958165	743344	1701509
1400	872371	840233	1712604
1500	864314	780188	1644502
1600	878735	791794	1670529
1700	856604	843397	1700001
1800	980844	803035	1783879
1900	932508	814717	1747225
