bin start	sense overlap	antisense overlap	total overlap
-1999	442276	364997	807273
-1899	695266	405870	1101136
-1799	411402	361190	772592
-1699	323574	312512	636086
-1599	650022	353978	1004000
-1499	377553	434580	812133
-1399	443616	338691	782307
-1299	457568	285664	743232
-1199	672228	333070	1005298
-1099	386042	413254	799296
-999	448184	349944	798128
-899	454671	350774	805445
-799	782706	513752	1296458
-699	727835	575202	1303037
-599	623757	618668	1242425
-499	559067	476710	1035777
-399	669698	579528	1249226
-299	739203	503221	1242424
-199	807573	677628	1485201
-99	1435115	918369	2353484
1	656928	370570	1027498
101	684910	411310	1096220
201	437879	414109	851988
301	562526	455620	1018146
401	584606	405463	990069
501	521149	482332	1003481
601	534009	440127	974136
701	608543	447638	1056181
801	672856	572906	1245762
901	671703	569495	1241198
1001	648648	708327	1356975
1101	603787	479001	1082788
1201	589876	525716	1115592
1301	513681	478788	992469
1401	491291	788167	1279458
1501	481267	702374	1183641
1601	499426	534645	1034071
1701	494816	603805	1098621
1801	601575	502993	1104568
1901	514444	1224674	1739118
2001	545056	839141	1384197
2101	466283	715356	1181639
2201	482412	636663	1119075
2301	440999	676013	1117012
2401	486611	490142	976753
2501	505362	414177	919539
2601	403517	453315	856832
2701	462187	445327	907514
2801	374853	431361	806214
2901	444879	432223	877102
