bin start	sense overlap	antisense overlap	total overlap
-3000	494145	484336	978481
-2900	517955	481784	999739
-2800	462417	513238	975655
-2700	502198	445941	948139
-2600	440903	444054	884957
-2500	704280	524063	1228343
-2400	564565	459926	1024491
-2300	544197	747464	1291661
-2200	639226	614597	1253823
-2100	552178	508655	1060833
-2000	644157	569266	1213423
-1900	853987	541410	1395397
-1800	670148	598250	1268398
-1700	664893	508256	1173149
-1600	588398	659446	1247844
-1500	586083	865503	1451586
-1400	656430	675744	1332174
-1300	829239	631510	1460749
-1200	686266	642803	1329069
-1100	679372	609564	1288936
-1000	901361	664509	1565870
-900	682799	670511	1353310
-800	616371	592426	1208797
-700	648528	557277	1205805
-600	879481	550811	1430292
-500	885285	459397	1344682
-400	679386	543857	1223243
-300	625159	587194	1212353
-200	668363	580485	1248848
-100	820296	684996	1505292
0	1443296	775871	2219167
100	938754	647816	1586570
200	1061505	603395	1664900
300	649282	476656	1125938
400	558327	420207	978534
500	575628	467635	1043263
600	554348	364744	919092
700	438586	365467	804053
800	468910	356128	825038
900	456288	357547	813835
1000	436753	270308	707061
1100	420759	380423	801182
1200	532722	326190	858912
1300	406512	326655	733167
1400	1092004	358401	1450405
1500	447332	524076	971408
1600	420546	428546	849092
1700	398819	388040	786859
1800	450114	288544	738658
1900	538196	311691	849887
