bin start	sense overlap	antisense overlap	total overlap
-1999	577744	519922	1097666
-1899	741241	452263	1193504
-1799	471295	408967	880262
-1699	435321	395622	830943
-1599	640871	453733	1094604
-1499	552555	496149	1048704
-1399	557835	446378	1004213
-1299	441200	347401	788601
-1199	686739	386492	1073231
-1099	597288	538779	1136067
-999	577311	483892	1061203
-899	617779	479788	1097567
-799	945069	619906	1564975
-699	821555	677963	1499518
-599	748862	701629	1450491
-499	796231	625678	1421909
-399	801898	619731	1421629
-299	854589	635650	1490239
-199	947673	805587	1753260
-99	1437786	964086	2401872
1	750336	399027	1149363
101	882674	458403	1341077
201	559748	461888	1021636
301	744727	547711	1292438
401	686862	527228	1214090
501	646650	575585	1222235
601	560127	696745	1256872
701	700464	557475	1257939
801	850623	625007	1475630
901	785641	648278	1433919
1001	734852	615868	1350720
1101	665641	587876	1253517
1201	669269	640818	1310087
1301	531808	665705	1197513
1401	647596	971072	1618668
1501	636595	723067	1359662
1601	629032	634205	1263237
1701	541550	669808	1211358
1801	575246	629020	1204266
1901	553136	1454450	2007586
2001	561158	1153878	1715036
2101	548880	888946	1437826
2201	575737	912683	1488420
2301	579659	769911	1349570
2401	675057	639561	1314618
2501	510000	455829	965829
2601	568414	596826	1165240
2701	408737	535983	944720
2801	552549	582798	1135347
2901	527451	560654	1088105
