bin start	sense overlap	antisense overlap	total overlap
-3000	638716	542728	1181444
-2900	601854	603698	1205552
-2800	611351	581404	1192755
-2700	572404	628741	1201145
-2600	630105	592588	1222693
-2500	970539	564522	1535061
-2400	758871	643705	1402576
-2300	637831	949955	1587786
-2200	575675	698246	1273921
-2100	762547	597791	1360338
-2000	653228	698219	1351447
-1900	1063873	724079	1787952
-1800	791930	780262	1572192
-1700	898022	597553	1495575
-1600	783281	767936	1551217
-1500	769051	1151844	1920895
-1400	831770	829475	1661245
-1300	987620	780283	1767903
-1200	865653	657317	1522970
-1100	759938	762385	1522323
-1000	911426	784110	1695536
-900	856451	874693	1731144
-800	687672	732929	1420601
-700	784993	655268	1440261
-600	1133439	611266	1744705
-500	978274	680236	1658510
-400	683214	733996	1417210
-300	768511	673961	1442472
-200	753632	746822	1500454
-100	932779	752558	1685337
0	1908475	873239	2781714
100	1185800	742664	1928464
200	1178376	673828	1852204
300	799904	583026	1382930
400	651368	431505	1082873
500	611921	499600	1111521
600	586325	582868	1169193
700	564077	477134	1041211
800	526143	440677	966820
900	521696	358700	880396
1000	484307	316536	800843
1100	424150	611084	1035234
1200	586445	378896	965341
1300	637579	468672	1106251
1400	1250462	508602	1759064
1500	443041	636851	1079892
1600	528612	495088	1023700
1700	442065	416567	858632
1800	543515	370870	914385
1900	646581	370838	1017419
