bin start	sense overlap	antisense overlap	total overlap
-1999	102727	222	102949
-1899	54140	141	54281
-1799	503	201	704
-1699	101465	144	101609
-1599	75987	117541	193528
-1499	405	2601	3006
-1399	543	134	677
-1299	61041	248	61289
-1199	43960	833	44793
-1099	95707	20212	115919
-999	602	22822	23424
-899	175718	20641	196359
-799	65512	188	65700
-699	225404	214	225618
-599	783	133	916
-499	58668	275	58943
-399	106877	40207	147084
-299	150800	50142	200942
-199	122850	4395	127245
-99	65747	71064	136811
1	303	341	644
101	11548	386	11934
201	673	492	1165
301	161143	19405	180548
401	85272	779	86051
501	204515	70748	275263
601	144274	140284	284558
701	111120	39468	150588
801	97493	36915	134408
901	193492	35824	229316
1001	207776	165077	372853
1101	63191	90412	153603
1201	37643	62264	99907
1301	24962	164383	189345
1401	12540	53509	66049
1501	88823	431	89254
1601	83899	83016	166915
1701	26508	83822	110330
1801	33296	4020	37316
1901	134635	136898	271533
2001	37280	781	38061
2101	24840	32601	57441
2201	33283	16534	49817
2301	84288	26027	110315
2401	77585	48176	125761
2501	27808	47315	75123
2601	80218	818	81036
2701	33997	41834	75831
2801	8569	1223	9792
2901	52278	1061	53339
