bin start	sense overlap	antisense overlap	total overlap
-3000	40436	102996	143432
-2900	18802	142855	161657
-2800	187810	109886	297696
-2700	63148	27544	90692
-2600	13927	77493	91420
-2500	423	136975	137398
-2400	58985	145963	204948
-2300	108332	54189	162521
-2200	35444	81213	116657
-2100	3040	33521	36561
-2000	606	98728	99334
-1900	221931	124307	346238
-1800	74242	153145	227387
-1700	135495	47727	183222
-1600	280889	27144	308033
-1500	5346	59973	65319
-1400	87753	92894	180647
-1300	91256	85558	176814
-1200	262408	4337	266745
-1100	71513	92440	163953
-1000	157278	177960	335238
-900	38308	231466	269774
-800	83338	23936	107274
-700	88950	1388	90338
-600	20575	118991	139566
-500	155756	971	156727
-400	899	105708	106607
-300	42003	706	42709
-200	54859	15701	70560
-100	147088	334	147422
0	105570	75	105645
100	181909	141562	323471
200	66607	203	66810
300	153905	83	153988
400	31858	51873	83731
500	69161	796	69957
600	18198	379	18577
700	152425	45029	197454
800	30584	184	30768
900	447	144	591
1000	567	18257	18824
1100	71676	24943	96619
1200	140592	73	140665
1300	123220	211	123431
1400	322656	278	322934
1500	70986	11499	82485
1600	21348	2027	23375
1700	277223	311	277534
1800	27276	238	27514
1900	109842	7448	117290
