bin start	sense overlap	antisense overlap	total overlap
-1999	16553	60185	76738
-1899	71109	15514	86623
-1799	61146	183	61329
-1699	482	102	584
-1599	126363	17640	144003
-1499	56092	61402	117494
-1399	51150	40454	91604
-1299	77393	120	77513
-1199	94381	115366	209747
-1099	62767	77378	140145
-999	121202	6018	127220
-899	15251	14430	29681
-799	81614	93	81707
-699	172345	52	172397
-599	90782	58593	149375
-499	154712	23410	178122
-399	182670	48	182718
-299	305116	5963	311079
-199	69335	14861	84196
-99	55439	22387	77826
1	168	12802	12970
101	161985	8342	170327
201	59261	57517	116778
301	128142	131	128273
401	151335	29138	180473
501	210554	112053	322607
601	103400	98858	202258
701	36023	68620	104643
801	210367	104153	314520
901	159965	71360	231325
1001	119754	87439	207193
1101	54197	61038	115235
1201	154062	10730	164792
1301	46060	85578	131638
1401	20988	32603	53591
1501	31216	28653	59869
1601	102655	59149	161804
1701	205164	86722	291886
1801	81808	49827	131635
1901	19504	13296	32800
2001	69190	5185	74375
2101	70502	73596	144098
2201	63788	103953	167741
2301	13641	17891	31532
2401	97435	63858	161293
2501	96495	122828	219323
2601	68428	155065	223493
2701	73790	38717	112507
2801	21362	122960	144322
2901	122784	111	122895
