bin start	sense overlap	antisense overlap	total overlap
-3000	44091	151529	195620
-2900	139678	26708	166386
-2800	106814	56274	163088
-2700	155902	55392	211294
-2600	26193	122355	148548
-2500	90763	45599	136362
-2400	32982	133098	166080
-2300	48281	261259	309540
-2200	105857	186423	292280
-2100	77765	47574	125339
-2000	239676	46411	286087
-1900	229242	66145	295387
-1800	93746	46532	140278
-1700	195766	68212	263978
-1600	39918	113960	153878
-1500	71374	43023	114397
-1400	75481	57645	133126
-1300	246227	143	246370
-1200	176321	92509	268830
-1100	142918	14957	157875
-1000	117450	134073	251523
-900	57984	49358	107342
-800	102685	54771	157456
-700	189300	91779	281079
-600	162607	27538	190145
-500	134042	49770	183812
-400	36921	150394	187315
-300	106762	57638	164400
-200	143461	58524	201985
-100	109017	8482	117499
0	309589	0	309589
100	281928	60596	342524
200	138712	14260	152972
300	104394	100	104494
400	64335	26685	91020
500	70917	33552	104469
600	38392	32208	70600
700	105879	84	105963
800	118862	60	118922
900	110435	96	110531
1000	25271	0	25271
1100	77301	48	77349
1200	87233	69	87302
1300	122362	20283	142645
1400	218497	8517	227014
1500	158991	0	158991
1600	107142	72	107214
1700	158262	140	158402
1800	241646	76	241722
1900	80387	112	80499
