bin start	sense overlap	antisense overlap	total overlap
-1999	74533	4712	79245
-1899	91041	5979	97020
-1799	72228	5595	77823
-1699	79382	5339	84721
-1599	107062	8023	115085
-1499	76910	5018	81928
-1399	91617	5379	96996
-1299	89918	8031	97949
-1199	92842	14571	107413
-1099	89804	28383	118187
-999	110013	6572	116585
-899	118387	9927	128314
-799	112919	9233	122152
-699	129655	3769	133424
-599	135305	7908	143213
-499	197488	9507	206995
-399	229723	10943	240666
-299	245545	6895	252440
-199	215320	8275	223595
-99	137862	6112	143974
1	40070	8582	48652
101	68257	10368	78625
201	28311	11982	40293
301	22021	17030	39051
401	26220	21393	47613
501	24422	48069	72491
601	20993	28680	49673
701	26051	25168	51219
801	30012	24822	54834
901	38110	24959	63069
1001	31536	27990	59526
1101	30110	23177	53287
1201	31001	22024	53025
1301	23147	27698	50845
1401	26711	23911	50622
1501	23654	23450	47104
1601	25206	20466	45672
1701	24766	20836	45602
1801	23425	18398	41823
1901	22389	22031	44420
2001	27805	19340	47145
2101	23807	20963	44770
2201	25051	20391	45442
2301	22716	22328	45044
2401	32402	25382	57784
2501	31183	24818	56001
2601	33107	23075	56182
2701	33833	18239	52072
2801	33323	21627	54950
2901	34159	26878	61037
