bin start	sense overlap	antisense overlap	total overlap
-3000	30481	25143	55624
-2900	29106	27584	56690
-2800	30044	22831	52875
-2700	27026	38728	65754
-2600	39772	42348	82120
-2500	39542	28733	68275
-2400	41393	21202	62595
-2300	34352	21957	56309
-2200	34579	20347	54926
-2100	32415	23244	55659
-2000	37072	23241	60313
-1900	37611	22799	60410
-1800	37939	24329	62268
-1700	39597	21435	61032
-1600	32871	20494	53365
-1500	32633	22143	54776
-1400	40723	24398	65121
-1300	29939	24523	54462
-1200	31826	20772	52598
-1100	35262	23831	59093
-1000	28778	24780	53558
-900	31581	25303	56884
-800	28318	27514	55832
-700	29768	27272	57040
-600	29006	29285	58291
-500	23975	21286	45261
-400	25320	22871	48191
-300	24233	18206	42439
-200	26437	16973	43410
-100	32948	23501	56449
0	121048	6226	127274
100	138008	3314	141322
200	102240	2486	104726
300	98728	3404	102132
400	124488	4056	128544
500	107155	3936	111091
600	89309	3932	93241
700	126167	5067	131234
800	108984	3429	112413
900	97836	3992	101828
1000	86700	3480	90180
1100	100101	4141	104242
1200	96160	5294	101454
1300	123718	5840	129558
1400	105147	4598	109745
1500	89662	5615	95277
1600	101864	6633	108497
1700	81830	5344	87174
1800	98881	7960	106841
1900	90244	6811	97055
