bin start	sense overlap	antisense overlap	total overlap
-3000	68075	122327	190402
-2900	129275	232930	362205
-2800	152989	107445	260434
-2700	51444	144006	195450
-2600	48171	159385	207556
-2500	157379	49691	207070
-2400	266902	116492	383394
-2300	123130	18276	141406
-2200	119281	57268	176549
-2100	143729	22575	166304
-2000	2008	103809	105817
-1900	152838	102634	255472
-1800	94664	138326	232990
-1700	184914	85565	270479
-1600	254036	191745	445781
-1500	2642	100694	103336
-1400	145130	44476	189606
-1300	80575	117348	197923
-1200	47551	157506	205057
-1100	271285	113023	384308
-1000	35285	170363	205648
-900	24211	27307	51518
-800	81831	136004	217835
-700	82958	65006	147964
-600	458	34415	34873
-500	593	168652	169245
-400	108461	253387	361848
-300	44480	17772	62252
-200	380	117736	118116
-100	105951	18320	124271
0	156387	0	156387
100	295442	175	295617
200	116975	291	117266
300	329082	7	329089
400	85872	63210	149082
500	107529	16580	124109
600	59247	144	59391
700	92895	84	92979
800	198559	6228	204787
900	245023	26544	271567
1000	43037	48	43085
1100	253052	0	253052
1200	104887	48208	153095
1300	212555	34254	246809
1400	383683	24450	408133
1500	95850	48	95898
1600	173037	53304	226341
1700	76839	116830	193669
1800	38569	19586	58155
1900	170220	128	170348
