bin start	sense overlap	antisense overlap	total overlap
-1999	203516	43008	246524
-1899	196180	14055	210235
-1799	68571	116799	185370
-1699	153649	78	153727
-1599	189794	96	189890
-1499	46434	60454	106888
-1399	111889	11786	123675
-1299	30896	196	31092
-1199	495	67720	68215
-1099	146366	60777	207143
-999	48091	612	48703
-899	46368	391	46759
-799	64974	33098	98072
-699	148938	23424	172362
-599	95076	14462	109538
-499	153628	1330	154958
-399	129655	96	129751
-299	133025	96614	229639
-199	69269	6764	76033
-99	173861	3170	177031
1	78	72315	72393
101	133886	32420	166306
201	77902	316	78218
301	113074	36857	149931
401	52181	917	53098
501	188268	53856	242124
601	29187	59000	88187
701	212101	87421	299522
801	112172	121309	233481
901	158584	64302	222886
1001	151566	136124	287690
1101	150339	77116	227455
1201	133003	78257	211260
1301	40561	166485	207046
1401	84538	84452	168990
1501	52173	49958	102131
1601	247631	72447	320078
1701	192648	143057	335705
1801	53166	100869	154035
1901	175325	53229	228554
2001	262021	61854	323875
2101	104096	63715	167811
2201	267122	112233	379355
2301	142438	75782	218220
2401	135366	57252	192618
2501	160329	76728	237057
2601	54029	121211	175240
2701	141824	46725	188549
2801	46195	78132	124327
2901	98111	21495	119606
