bin start	sense overlap	antisense overlap	total overlap
-3000	206087	33996	240083
-2900	192718	71862	264580
-2800	54607	38809	93416
-2700	34796	250725	285521
-2600	59917	302203	362120
-2500	257879	32678	290557
-2400	298799	64368	363167
-2300	165667	222754	388421
-2200	314794	67468	382262
-2100	67465	75675	143140
-2000	283925	17584	301509
-1900	298288	85554	383842
-1800	202524	131600	334124
-1700	224486	69713	294199
-1600	69401	141477	210878
-1500	124078	142292	266370
-1400	156634	102485	259119
-1300	157717	52444	210161
-1200	248108	188247	436355
-1100	118538	64177	182715
-1000	192975	108420	301395
-900	141656	178699	320355
-800	165621	31096	196717
-700	105531	71987	177518
-600	56921	195111	252032
-500	257465	67648	325113
-400	246555	160283	406838
-300	98921	248	99169
-200	198628	30974	229602
-100	88969	29748	118717
0	186353	189	186542
100	111805	39314	151119
200	239242	69616	308858
300	48679	0	48679
400	45979	96	46075
500	303	58680	58983
600	499	948	1447
700	56466	77028	133494
800	188626	22572	211198
900	165724	142	165866
1000	103734	96	103830
1100	268032	48	268080
1200	122641	43	122684
1300	139733	35984	175717
1400	278343	59805	338148
1500	47518	96	47614
1600	31980	96	32076
1700	81960	504	82464
1800	305627	19272	324899
1900	274124	74440	348564
