bin start	sense overlap	antisense overlap	total overlap
-1999	63035	130	63165
-1899	20213	81662	101875
-1799	7274	75717	82991
-1699	39620	24084	63704
-1599	270758	13842	284600
-1499	25628	251	25879
-1399	76564	43	76607
-1299	376	53018	53394
-1199	171227	16270	187497
-1099	85140	22610	107750
-999	173821	51408	225229
-899	42703	121184	163887
-799	286311	20629	306940
-699	152812	60313	213125
-599	131024	44810	175834
-499	84122	24	84146
-399	127274	116	127390
-299	88360	49434	137794
-199	22426	39649	62075
-99	842	30989	31831
1	85238	45475	130713
101	206154	11766	217920
201	39783	26633	66416
301	221374	22678	244052
401	48538	65	48603
501	20533	201	20734
601	154545	43119	197664
701	195939	98848	294787
801	122674	253188	375862
901	300181	333034	633215
1001	107538	43703	151241
1101	15907	55717	71624
1201	57367	136641	194008
1301	151511	126523	278034
1401	98296	203073	301369
1501	94150	95234	189384
1601	217721	26633	244354
1701	104351	48391	152742
1801	42348	1124	43472
1901	77654	53343	130997
2001	97894	217025	314919
2101	55551	2136	57687
2201	355483	97693	453176
2301	146261	78798	225059
2401	300868	192365	493233
2501	213544	146429	359973
2601	177146	84393	261539
2701	60536	426	60962
2801	58485	141851	200336
2901	44284	47	44331
