bin start	sense overlap	antisense overlap	total overlap
-1999	121096	113993	235089
-1899	125413	126908	252321
-1799	115131	101993	217124
-1699	107650	90599	198249
-1599	183439	101628	285067
-1499	127523	99466	226989
-1399	123812	89814	213626
-1299	100725	73953	174678
-1199	118101	95898	213999
-1099	117633	74148	191781
-999	78291	53052	131343
-899	86127	61000	147127
-799	62688	73323	136011
-699	66954	59482	126436
-599	59474	54306	113780
-499	41970	41758	83728
-399	40428	42536	82964
-299	57375	75163	132538
-199	85050	58564	143614
-99	89733	89650	179383
1	152914	140529	293443
101	224396	227765	452161
201	336443	324251	660694
301	369711	413915	783626
401	427908	443659	871567
501	468627	446424	915051
601	474097	488069	962166
701	463633	415752	879385
801	475573	458328	933901
901	471859	432772	904631
1001	395756	427371	823127
1101	358537	388270	746807
1201	345848	350193	696041
1301	416869	394828	811697
1401	414131	387224	801355
1501	359200	325028	684228
1601	353211	333228	686439
1701	384953	318453	703406
1801	317590	325037	642627
1901	305360	317793	623153
2001	323403	387967	711370
2101	307376	302984	610360
2201	315824	313783	629607
2301	335339	322209	657548
2401	307894	300712	608606
2501	352481	312048	664529
2601	367983	274863	642846
2701	329899	308552	638451
2801	287063	314228	601291
2901	283533	268535	552068
