bin start	sense overlap	antisense overlap	total overlap
-3000	297830	334840	632670
-2900	300009	311942	611951
-2800	302067	322476	624543
-2700	311109	313233	624342
-2600	281987	287982	569969
-2500	336792	338138	674930
-2400	373285	321694	694979
-2300	369630	342729	712359
-2200	363733	339663	703396
-2100	379177	373656	752833
-2000	378580	391784	770364
-1900	427386	371671	799057
-1800	440464	422934	863398
-1700	369071	390088	759159
-1600	440439	418342	858781
-1500	412527	418992	831519
-1400	454046	434931	888977
-1300	434153	452250	886403
-1200	455147	443036	898183
-1100	465784	459952	925736
-1000	519913	519901	1039814
-900	578958	576949	1155907
-800	594291	614727	1209018
-700	780920	735169	1516089
-600	844024	763674	1607698
-500	895081	839100	1734181
-400	1071573	930616	2002189
-300	1197850	869302	2067152
-200	1345612	909873	2255485
-100	401912	298256	700168
0	49112	47876	96988
100	106597	30742	137339
200	34529	29357	63886
300	54908	53166	108074
400	55973	53825	109798
500	64275	65913	130188
600	78290	57828	136118
700	70186	70406	140592
800	119703	88399	208102
900	145130	89641	234771
1000	123994	98022	222016
1100	112234	93563	205797
1200	117645	79586	197231
1300	137429	81707	219136
1400	113879	74997	188876
1500	87009	75168	162177
1600	114800	72958	187758
1700	104810	96981	201791
1800	207602	84536	292138
1900	117611	95672	213283
